@RELATION products

@ATTRIBUTE numberOfWords NUMERIC
@ATTRIBUTE numberOfTotalCharacters NUMERIC
@ATTRIBUTE class {BLUETOOTH_VERSION,RAM_TYPE,CPU_FREQ,CPU,OS_BITS,WIRELESS_CONNECTIVITY,CAMERA_BACK,BATTERY_CAPACITY,NETWORK_4G,GPU,NETWORK_2G,BATTERY_TYPE,STORAGE_SSD,RAM_CAPACITY,EXTERNAL_MEMORY,COLOR,WEIGHT,DEVICE_TYPE,OS,PRICE,CAMERA_FRONT,SIM_CARD_SLOT,SCREEN_TYPE,PRODUCT_SIZE,SCREEN_PPI,NETWORK_3G,USB_VERSION,SIM_CARD_TYPE,BRAND,ETHERNET_SPEED,SCREEN_SIZE,NETWORK_TYPE,SCREEN_RESOLUTION,CPU_CORES,STORAGE_HDD,TITLE,WIFI}

@data
13,91,TITLE
1,7,PRICE
13,76,TITLE
21,112,TITLE
20,119,TITLE
13,76,TITLE
18,113,TITLE
1,5,PRICE
16,94,TITLE
1,7,PRICE
13,78,TITLE
14,81,TITLE
1,7,PRICE
14,74,TITLE
1,5,PRICE
14,84,TITLE
18,100,TITLE
14,94,TITLE
15,85,TITLE
1,4,PRICE
14,81,TITLE
18,123,TITLE
2,12,GPU
13,84,TITLE
17,90,TITLE
20,109,TITLE
1,6,PRICE
3,16,CPU
14,90,TITLE
15,86,TITLE
18,100,TITLE
16,100,TITLE
14,100,TITLE
3,15,OS
1,7,PRICE
4,20,CPU
3,10,SCREEN_RESOLUTION
9,52,TITLE
14,79,TITLE
13,83,TITLE
16,100,TITLE
18,99,TITLE
1,6,SCREEN_SIZE
16,85,TITLE
14,84,TITLE
21,123,TITLE
1,5,PRICE
14,87,TITLE
11,65,TITLE
13,72,TITLE
1,6,SCREEN_SIZE
18,124,TITLE
14,85,TITLE
1,7,PRICE
15,87,TITLE
20,100,TITLE
15,94,TITLE
14,94,TITLE
14,90,TITLE
1,7,PRICE
17,98,TITLE
1,7,PRICE
18,100,TITLE
1,7,PRICE
15,84,TITLE
14,79,TITLE
1,7,PRICE
4,22,CPU
19,100,TITLE
13,74,TITLE
16,85,TITLE
1,5,PRICE
14,94,TITLE
19,105,TITLE
19,107,TITLE
18,100,TITLE
1,7,PRICE
15,96,TITLE
12,64,TITLE
16,80,TITLE
15,95,TITLE
14,76,TITLE
2,9,GPU
16,100,TITLE
15,107,TITLE
1,7,PRICE
15,86,TITLE
1,7,PRICE
19,117,TITLE
22,126,TITLE
1,7,PRICE
14,102,TITLE
19,103,TITLE
13,78,TITLE
18,93,TITLE
14,90,TITLE
12,76,TITLE
1,6,PRICE
14,93,TITLE
1,7,PRICE
14,95,TITLE
14,82,TITLE
1,7,PRICE
12,66,TITLE
14,86,TITLE
1,7,PRICE
16,100,TITLE
1,7,PRICE
3,16,CPU
12,63,TITLE
1,4,PRICE
14,90,TITLE
17,100,TITLE
4,20,CPU
13,72,TITLE
15,85,TITLE
1,7,PRICE
17,100,TITLE
15,91,TITLE
1,7,PRICE
4,22,CPU
1,8,SCREEN_SIZE
15,78,TITLE
16,88,TITLE
1,5,PRICE
14,89,TITLE
13,74,TITLE
15,83,TITLE
1,7,PRICE
17,102,TITLE
1,7,PRICE
18,102,TITLE
11,78,TITLE
15,83,TITLE
1,7,PRICE
15,89,TITLE
1,7,PRICE
15,94,TITLE
17,95,TITLE
13,73,TITLE
4,18,CPU
1,8,SCREEN_SIZE
15,87,TITLE
1,7,PRICE
2,12,RAM_TYPE
1,6,SCREEN_SIZE
11,57,TITLE
3,23,OS
2,8,SIM_CARD_TYPE
1,6,PRICE
2,12,CAMERA_FRONT
2,10,SCREEN_SIZE
3,14,SCREEN_RESOLUTION
11,63,TITLE
2,12,CAMERA_FRONT
11,63,TITLE
3,20,OS
2,12,CPU_FREQ
2,10,SCREEN_SIZE
15,89,TITLE
3,18,OS
2,9,SIM_CARD_TYPE
1,4,PRICE
1,5,RAM_CAPACITY
2,11,CAMERA_FRONT
2,14,SCREEN_RESOLUTION
11,58,TITLE
2,12,CPU_FREQ
2,10,SCREEN_SIZE
11,65,TITLE
1,6,PRICE
2,11,CAMERA_FRONT
4,17,SCREEN_RESOLUTION
12,67,TITLE
2,16,SCREEN_RESOLUTION
10,50,TITLE
2,10,SCREEN_RESOLUTION
11,64,TITLE
10,54,TITLE
2,12,CAMERA_FRONT
1,4,SCREEN_RESOLUTION
11,68,TITLE
3,20,OS
10,54,TITLE
2,5,OS
1,3,PRICE
2,9,CPU_CORES
10,59,TITLE
3,18,OS
2,14,CPU
2,12,CPU_FREQ
2,10,SCREEN_SIZE
2,16,SCREEN_RESOLUTION
10,59,TITLE
1,5,OS
1,7,PRICE
2,10,SCREEN_SIZE
12,66,TITLE
1,6,CPU
2,8,SCREEN_SIZE
11,64,TITLE
10,60,TITLE
11,57,TITLE
1,3,PRICE
2,14,SCREEN_RESOLUTION
9,53,TITLE
10,56,TITLE
9,52,TITLE
1,6,PRICE
9,50,TITLE
1,4,PRICE
1,2,CPU
12,68,TITLE
2,12,CPU_FREQ
10,52,TITLE
1,5,PRICE
12,65,TITLE
1,6,PRICE
11,64,TITLE
11,63,TITLE
1,7,PRICE
1,9,SCREEN_RESOLUTION
11,62,TITLE
1,6,PRICE
1,7,SCREEN_RESOLUTION
15,75,TITLE
2,14,CPU
10,55,TITLE
1,3,PRICE
11,64,TITLE
1,6,PRICE
8,47,TITLE
1,5,PRICE
13,73,TITLE
1,5,PRICE
2,11,CAMERA_FRONT
2,8,SCREEN_SIZE
11,65,TITLE
11,63,TITLE
11,60,TITLE
1,5,PRICE
10,56,TITLE
10,55,TITLE
3,23,OS
1,6,PRICE
9,50,TITLE
11,64,TITLE
10,53,TITLE
11,58,TITLE
11,60,TITLE
11,65,TITLE
10,58,TITLE
2,6,OS
1,4,PRICE
10,58,TITLE
1,6,PRICE
2,12,CPU_FREQ
12,67,TITLE
1,6,PRICE
12,68,TITLE
11,65,TITLE
12,66,TITLE
13,69,TITLE
9,49,TITLE
2,12,CAMERA_FRONT
11,64,TITLE
2,12,CPU_FREQ
2,12,CAMERA_FRONT
10,55,TITLE
12,66,TITLE
1,4,PRICE
10,55,TITLE
1,3,PRICE
9,59,TITLE
2,12,SIM_CARD_TYPE
1,7,PRICE
2,14,CPU
11,64,TITLE
10,50,TITLE
1,6,PRICE
2,8,SCREEN_SIZE
11,60,TITLE
10,57,TITLE
1,4,PRICE
11,62,TITLE
1,4,PRICE
10,54,TITLE
11,61,TITLE
1,6,PRICE
10,57,TITLE
1,6,PRICE
13,65,TITLE
2,8,CPU_FREQ
10,58,TITLE
1,3,PRICE
10,53,TITLE
1,5,PRICE
10,54,TITLE
11,59,TITLE
4,20,SIM_CARD_TYPE
1,6,PRICE
12,67,TITLE
10,58,TITLE
11,67,TITLE
2,14,CPU
2,12,CAMERA_FRONT
2,16,SCREEN_RESOLUTION
9,51,TITLE
11,63,TITLE
10,49,TITLE
1,6,PRICE
11,63,TITLE
11,56,TITLE
1,5,PRICE
9,51,TITLE
1,3,PRICE
1,7,CPU
9,43,TITLE
4,19,TITLE
2,14,CPU
11,59,TITLE
1,4,PRICE
11,64,TITLE
10,52,TITLE
3,17,CAMERA_FRONT
2,10,SCREEN_SIZE
12,61,TITLE
1,5,PRICE
12,66,TITLE
1,4,PRICE
12,67,TITLE
2,14,CPU
2,14,CAMERA_FRONT
11,58,TITLE
9,45,TITLE
11,58,TITLE
1,6,PRICE
10,53,TITLE
2,14,CPU
1,7,CPU_FREQ
11,63,TITLE
1,7,PRICE
10,59,TITLE
1,7,PRICE
11,60,TITLE
9,50,TITLE
11,64,TITLE
1,7,PRICE
10,56,TITLE
1,6,PRICE
11,63,TITLE
10,53,TITLE
2,12,CPU_FREQ
2,16,SCREEN_RESOLUTION
11,65,TITLE
1,7,PRICE
9,54,TITLE
1,7,PRICE
4,25,TITLE
1,6,CPU
11,59,TITLE
1,7,CPU_FREQ
10,60,TITLE
2,12,CAMERA_FRONT
11,61,TITLE
1,3,PRICE
10,62,TITLE
1,3,PRICE
9,47,TITLE
13,83,TITLE
1,6,PRICE
10,52,TITLE
12,69,TITLE
11,63,TITLE
10,55,TITLE
10,58,TITLE
2,12,CPU_FREQ
2,9,CPU_CORES
7,33,TITLE
1,3,PRICE
12,62,TITLE
1,6,PRICE
11,59,TITLE
1,4,PRICE
11,57,TITLE
10,56,TITLE
1,7,CPU_FREQ
10,56,TITLE
1,4,PRICE
11,61,TITLE
11,64,TITLE
1,3,PRICE
12,69,TITLE
1,7,PRICE
10,54,TITLE
1,6,PRICE
11,65,TITLE
11,62,TITLE
1,4,PRICE
6,28,TITLE
11,60,TITLE
11,60,TITLE
10,58,TITLE
10,55,TITLE
9,59,TITLE
1,6,PRICE
10,54,TITLE
1,5,PRICE
10,60,TITLE
1,7,PRICE
2,10,SCREEN_SIZE
11,60,TITLE
9,61,TITLE
1,10,OS
1,7,PRICE
11,61,TITLE
10,56,TITLE
1,6,CPU_FREQ
9,48,TITLE
10,54,TITLE
9,58,TITLE
11,61,TITLE
1,6,PRICE
11,64,TITLE
13,76,TITLE
1,6,PRICE
11,60,TITLE
11,61,TITLE
1,4,PRICE
11,64,TITLE
1,7,PRICE
11,66,TITLE
9,53,TITLE
9,56,TITLE
1,7,OS
1,3,PRICE
1,3,RAM_CAPACITY
1,6,CPU_FREQ
2,14,SCREEN_RESOLUTION
11,58,TITLE
11,60,TITLE
1,6,PRICE
7,46,TITLE
1,6,PRICE
11,66,TITLE
4,22,OS
1,6,PRICE
12,61,TITLE
10,59,TITLE
1,7,CPU
9,52,TITLE
10,54,TITLE
11,63,TITLE
12,65,TITLE
11,54,TITLE
9,49,TITLE
12,63,TITLE
2,10,CPU_FREQ
10,56,TITLE
11,58,TITLE
12,62,TITLE
10,56,TITLE
1,7,CPU_FREQ
12,67,TITLE
1,6,PRICE
10,54,TITLE
7,32,TITLE
2,9,CPU
14,73,TITLE
1,5,WIFI
10,56,TITLE
3,12,OS
1,4,PRICE
3,17,CPU
1,6,SCREEN_SIZE
3,11,SCREEN_RESOLUTION
1,4,COLOR
11,60,TITLE
1,4,PRICE
1,4,SCREEN_SIZE
2,9,COLOR
14,75,TITLE
2,6,CPU
10,56,TITLE
13,75,TITLE
1,4,PRICE
2,6,SCREEN_SIZE
3,11,SCREEN_RESOLUTION
12,71,TITLE
1,4,PRICE
2,12,WIFI
15,77,TITLE
3,19,CPU
1,7,SCREEN_SIZE
13,71,TITLE
3,11,OS
2,9,CPU
1,5,SCREEN_SIZE
14,73,TITLE
15,95,TITLE
2,7,CPU
14,78,TITLE
1,5,SCREEN_SIZE
8,50,TITLE
1,5,PRICE
2,15,CPU
1,4,SCREEN_SIZE
2,9,COLOR
13,75,TITLE
1,4,PRICE
2,11,CPU
10,60,TITLE
1,4,PRICE
1,3,SCREEN_SIZE
12,58,TITLE
2,10,COLOR
17,114,TITLE
3,27,CPU
12,69,TITLE
1,4,PRICE
1,7,SCREEN_SIZE
14,72,TITLE
3,15,CPU
17,97,TITLE
4,21,CPU
12,71,TITLE
13,77,TITLE
11,63,TITLE
9,49,TITLE
1,4,PRICE
2,11,COLOR
15,103,TITLE
1,7,PRICE
12,68,TITLE
1,4,PRICE
1,3,SCREEN_SIZE
11,61,TITLE
1,4,PRICE
12,73,TITLE
15,82,TITLE
3,22,CPU
1,5,SCREEN_SIZE
3,10,SCREEN_RESOLUTION
12,62,TITLE
1,6,PRICE
10,51,TITLE
15,86,TITLE
3,17,CPU
1,7,CPU_FREQ
3,10,SCREEN_RESOLUTION
10,49,TITLE
1,4,PRICE
1,6,SCREEN_SIZE
3,11,SCREEN_RESOLUTION
8,43,TITLE
1,4,PRICE
2,9,CPU
2,5,CPU_FREQ
2,7,SCREEN_SIZE
12,66,TITLE
17,104,TITLE
1,7,PRICE
1,12,COLOR
11,61,TITLE
12,69,TITLE
13,71,TITLE
1,6,CPU
13,73,TITLE
1,4,PRICE
15,88,TITLE
3,23,CPU
14,76,TITLE
3,15,CPU
2,7,CPU_FREQ
14,77,TITLE
1,4,PRICE
14,76,TITLE
3,19,CPU
12,71,TITLE
12,70,TITLE
15,103,TITLE
4,22,CPU
11,54,TITLE
1,4,PRICE
4,27,CPU
1,5,SCREEN_SIZE
3,20,COLOR
14,74,TITLE
16,90,TITLE
3,22,CPU
13,76,TITLE
1,4,PRICE
14,76,TITLE
13,71,TITLE
10,50,TITLE
1,4,PRICE
18,104,TITLE
4,21,CPU
14,79,TITLE
1,6,PRICE
1,7,SCREEN_SIZE
14,73,TITLE
11,61,TITLE
12,70,TITLE
11,54,TITLE
1,4,PRICE
10,52,TITLE
15,87,TITLE
1,4,PRICE
3,24,CPU
12,73,TITLE
14,76,TITLE
1,4,PRICE
13,72,TITLE
11,65,TITLE
4,21,CPU
1,11,COLOR
16,89,TITLE
2,10,CPU
13,70,TITLE
1,4,PRICE
14,75,TITLE
15,78,TITLE
10,52,TITLE
1,4,PRICE
13,77,TITLE
1,4,PRICE
14,75,TITLE
1,3,SCREEN_SIZE
14,76,TITLE
4,19,CPU
15,96,TITLE
1,7,PRICE
8,46,TITLE
2,14,OS
2,18,CPU
2,8,CPU_FREQ
11,66,TITLE
13,75,TITLE
11,54,TITLE
10,58,TITLE
13,72,TITLE
1,4,PRICE
18,91,TITLE
3,17,CPU
15,79,TITLE
2,10,CPU
10,55,TITLE
10,62,TITLE
14,75,TITLE
12,64,TITLE
10,49,TITLE
11,55,TITLE
10,49,TITLE
1,4,PRICE
8,45,TITLE
15,89,TITLE
11,57,TITLE
1,4,PRICE
10,57,TITLE
10,52,TITLE
1,4,PRICE
15,81,TITLE
17,97,TITLE
1,7,PRICE
12,70,TITLE
11,61,TITLE
10,51,TITLE
1,3,CPU
13,74,TITLE
8,50,TITLE
1,6,CPU
15,81,TITLE
2,11,OS
1,7,PRICE
4,21,CPU
11,56,TITLE
11,57,TITLE
14,81,TITLE
1,4,PRICE
11,56,TITLE
1,4,PRICE
11,62,TITLE
11,52,TITLE
15,103,TITLE
1,7,PRICE
4,22,CPU
10,55,TITLE
1,4,PRICE
2,11,OS
3,27,CPU
15,100,TITLE
1,7,PRICE
6,31,TITLE
1,3,PRICE
