@RELATION products

@ATTRIBUTE numberOfWords NUMERIC
@ATTRIBUTE numberOfTotalCharacters NUMERIC
@ATTRIBUTE class {BLUETOOTH_VERSION,RAM_TYPE,CPU_FREQ,CPU,OS_BITS,WIRELESS_CONNECTIVITY,CAMERA_BACK,BATTERY_CAPACITY,NETWORK_4G,GPU,NETWORK_2G,BATTERY_TYPE,STORAGE_SSD,RAM_CAPACITY,EXTERNAL_MEMORY,COLOR,WEIGHT,DEVICE_TYPE,OS,PRICE,CAMERA_FRONT,SIM_CARD_SLOT,SCREEN_TYPE,PRODUCT_SIZE,SCREEN_PPI,NETWORK_3G,USB_VERSION,SIM_CARD_TYPE,BRAND,ETHERNET_SPEED,SCREEN_SIZE,NETWORK_TYPE,SCREEN_RESOLUTION,CPU_CORES,STORAGE_HDD,TITLE,WIFI}

@data
1,6,PRICE
1,7,BATTERY_CAPACITY
1,5,RAM_CAPACITY
2,13,CPU
3,13,CAMERA_BACK
2,9,WEIGHT
12,50,PRODUCT_SIZE
1,8,SCREEN_RESOLUTION
8,30,TITLE
2,22,DEVICE_TYPE
2,10,OS
1,4,BRAND
1,7,PRICE
4,36,WIFI
4,34,BATTERY_CAPACITY
1,3,RAM_CAPACITY
4,21,GPU
5,28,CPU
2,17,CPU_CORES
1,5,CAMERA_FRONT
2,9,WEIGHT
12,52,PRODUCT_SIZE
2,9,SCREEN_SIZE
2,25,SCREEN_TYPE
4,20,TITLE
6,44,SIM_CARD_SLOT
1,4,BRAND
1,7,PRICE
2,24,NETWORK_4G
5,38,BATTERY_CAPACITY
1,3,RAM_CAPACITY
1,7,CPU
2,17,CPU_CORES
2,9,WEIGHT
12,51,PRODUCT_SIZE
2,9,SCREEN_SIZE
2,20,SCREEN_TYPE
4,19,SCREEN_RESOLUTION
7,38,TITLE
1,6,BRAND
1,6,PRICE
7,45,NETWORK_4G
1,7,CPU
2,9,WEIGHT
12,50,PRODUCT_SIZE
7,42,TITLE
1,9,DEVICE_TYPE
4,24,OS
1,7,BATTERY_CAPACITY
3,16,GPU
3,19,CPU
2,17,CPU_CORES
2,9,WEIGHT
12,52,PRODUCT_SIZE
4,18,TITLE
2,9,DEVICE_TYPE
1,4,BRAND
1,6,PRICE
5,38,BATTERY_CAPACITY
1,3,RAM_CAPACITY
1,3,CPU
2,9,WEIGHT
12,51,PRODUCT_SIZE
2,6,SCREEN_SIZE
2,24,SCREEN_TYPE
5,27,TITLE
1,7,PRICE
3,23,BATTERY_CAPACITY
1,7,CPU
2,14,CPU_CORES
1,5,CAMERA_BACK
2,9,WEIGHT
12,51,PRODUCT_SIZE
3,10,SCREEN_RESOLUTION
21,117,TITLE
1,8,BRAND
1,7,PRICE
1,4,CPU
4,28,CPU_CORES
2,8,WEIGHT
6,20,PRODUCT_SIZE
2,9,SCREEN_SIZE
2,15,SCREEN_TYPE
4,16,SCREEN_RESOLUTION
6,32,TITLE
2,11,DEVICE_TYPE
1,6,BRAND
1,5,PRICE
2,14,BATTERY_CAPACITY
1,8,GPU
1,3,CPU
4,24,CAMERA_BACK
2,9,WEIGHT
12,51,PRODUCT_SIZE
2,6,SCREEN_SIZE
1,13,SCREEN_TYPE
4,18,SCREEN_RESOLUTION
3,15,TITLE
1,6,PRICE
2,13,NETWORK_3G
2,9,WEIGHT
12,51,PRODUCT_SIZE
4,17,SCREEN_RESOLUTION
7,50,TITLE
1,6,BRAND
4,35,WIFI
3,23,BATTERY_CAPACITY
3,19,CPU
2,9,WEIGHT
12,51,PRODUCT_SIZE
2,8,SCREEN_SIZE
4,19,SCREEN_RESOLUTION
10,43,TITLE
1,7,PRICE
4,32,BATTERY_CAPACITY
1,9,GPU
4,24,CPU
2,16,CPU_CORES
7,39,CAMERA_BACK
2,9,WEIGHT
12,52,PRODUCT_SIZE
2,9,SCREEN_SIZE
4,20,TITLE
1,3,BRAND
1,7,PRICE
3,16,NETWORK_3G
5,38,BATTERY_CAPACITY
2,9,WEIGHT
12,51,PRODUCT_SIZE
2,21,SCREEN_TYPE
4,22,TITLE
1,7,BRAND
1,6,PRICE
2,12,GPU
1,7,CPU
2,9,WEIGHT
12,51,PRODUCT_SIZE
4,22,TITLE
1,6,PRICE
5,38,BATTERY_CAPACITY
2,13,GPU
2,9,WEIGHT
12,49,PRODUCT_SIZE
8,34,TITLE
1,7,PRICE
3,22,GPU
3,18,CPU
2,9,WEIGHT
12,52,PRODUCT_SIZE
2,9,SCREEN_SIZE
4,22,TITLE
2,11,DEVICE_TYPE
6,23,SIM_CARD_SLOT
2,11,OS
1,3,BRAND
4,19,NETWORK_3G
4,42,NETWORK_2G
1,7,CPU
3,17,CPU_CORES
2,8,WEIGHT
12,48,PRODUCT_SIZE
2,6,SCREEN_SIZE
4,19,TITLE
6,45,SIM_CARD_SLOT
5,39,BATTERY_CAPACITY
2,8,CPU
2,9,WEIGHT
12,51,PRODUCT_SIZE
4,18,TITLE
1,6,PRICE
2,14,BATTERY_CAPACITY
1,6,CPU_CORES
2,9,WEIGHT
12,50,PRODUCT_SIZE
8,32,TITLE
5,38,BATTERY_CAPACITY
4,21,GPU
3,19,CPU
2,16,CPU_CORES
2,9,WEIGHT
12,51,PRODUCT_SIZE
7,42,TITLE
1,7,PRICE
2,14,BATTERY_CAPACITY
4,21,GPU
4,19,CPU
2,9,WEIGHT
12,52,PRODUCT_SIZE
6,38,TITLE
5,29,SIM_CARD_SLOT
1,7,PRICE
4,61,NETWORK_4G
4,45,NETWORK_3G
4,31,BATTERY_CAPACITY
1,3,RAM_CAPACITY
2,10,GPU
3,23,CPU
2,16,CPU_CORES
