@RELATION products

@ATTRIBUTE numberOfWords NUMERIC
@ATTRIBUTE numberOfTotalCharacters NUMERIC
@ATTRIBUTE numberOfAlphabetCharacters NUMERIC
@ATTRIBUTE numberOfNumericCharacters NUMERIC
@ATTRIBUTE numberOfWhiteSpaceCharacters NUMERIC
@ATTRIBUTE class {BLUETOOTH_VERSION,RAM_TYPE,CPU_FREQ,CPU,OS_BITS,WIRELESS_CONNECTIVITY,CAMERA_BACK,BATTERY_CAPACITY,NETWORK_4G,GPU,NETWORK_2G,BATTERY_TYPE,STORAGE_SSD,RAM_CAPACITY,EXTERNAL_MEMORY,COLOR,WEIGHT,DEVICE_TYPE,OS,PRICE,CAMERA_FRONT,SIM_CARD_SLOT,SCREEN_TYPE,PRODUCT_SIZE,SCREEN_PPI,NETWORK_3G,USB_VERSION,SIM_CARD_TYPE,BRAND,ETHERNET_SPEED,SCREEN_SIZE,NETWORK_TYPE,SCREEN_RESOLUTION,CPU_CORES,STORAGE_HDD,TITLE,WIFI}

@data
2,9,2,5,1,WEIGHT
12,47,12,17,12,PRODUCT_SIZE
5,26,20,2,4,TITLE
1,6,0,4,0,PRICE
3,11,4,5,2,BATTERY_CAPACITY
2,8,2,4,1,WEIGHT
12,50,12,19,12,PRODUCT_SIZE
1,6,0,4,0,PRICE
4,30,22,5,3,TITLE
1,17,11,2,0,WIRELESS_CONNECTIVITY
2,19,6,10,1,NETWORK_2G
3,24,17,4,2,BATTERY_CAPACITY
2,12,7,4,1,GPU
1,7,3,4,0,CPU
2,9,2,5,1,WEIGHT
12,47,12,17,12,PRODUCT_SIZE
6,33,27,1,5,TITLE
6,22,15,2,5,OS
1,7,0,5,0,PRICE
2,41,28,5,1,WIRELESS_CONNECTIVITY
1,7,6,0,0,NETWORK_4G
1,7,3,4,0,BATTERY_CAPACITY
2,9,8,0,1,CPU_CORES
1,5,2,3,0,STORAGE_SSD
1,4,2,2,0,CAMERA_BACK
2,9,2,5,1,WEIGHT
12,50,12,19,12,PRODUCT_SIZE
2,8,4,2,1,SCREEN_SIZE
4,16,2,9,3,SCREEN_RESOLUTION
4,25,17,5,3,TITLE
1,7,0,5,0,PRICE
2,31,21,3,1,WIRELESS_CONNECTIVITY
1,8,4,4,0,CPU
2,16,11,2,1,CPU_CORES
2,9,2,5,1,WEIGHT
12,49,12,18,12,PRODUCT_SIZE
1,7,0,5,0,PRICE
1,5,2,3,0,STORAGE_SSD
4,24,19,2,3,TITLE
1,6,0,4,0,PRICE
1,21,17,1,0,WIRELESS_CONNECTIVITY
4,38,12,9,8,CAMERA_BACK
2,9,2,5,1,WEIGHT
12,50,12,19,12,PRODUCT_SIZE
2,8,4,2,1,SCREEN_SIZE
1,7,0,5,0,PRICE
3,19,16,1,2,TITLE
1,5,0,3,0,PRICE
1,7,0,5,0,PRICE
2,9,2,5,1,WEIGHT
5,26,20,2,4,TITLE
1,7,0,5,0,PRICE
2,36,24,5,1,WIRELESS_CONNECTIVITY
1,7,3,4,0,BATTERY_CAPACITY
3,20,6,6,4,CAMERA_BACK
2,9,2,5,1,WEIGHT
12,49,12,18,12,PRODUCT_SIZE
4,27,23,1,3,TITLE
2,34,9,19,1,NETWORK_4G
1,39,31,0,0,NETWORK_TYPE
12,50,12,19,12,PRODUCT_SIZE
8,46,28,7,9,TITLE
1,7,0,5,0,PRICE
1,5,1,4,0,CPU
2,16,11,2,1,CPU_CORES
4,25,20,2,3,TITLE
1,7,0,5,0,PRICE
3,49,37,2,2,WIRELESS_CONNECTIVITY
2,19,10,4,1,NETWORK_4G
2,16,10,4,1,BATTERY_CAPACITY
2,9,2,5,1,WEIGHT
12,50,12,19,12,PRODUCT_SIZE
5,24,18,2,4,TITLE
1,6,6,0,0,BRAND
1,7,0,5,0,PRICE
2,16,10,4,1,BATTERY_CAPACITY
2,14,12,0,1,BATTERY_TYPE
1,7,3,4,0,CPU
2,9,2,5,1,WEIGHT
12,49,12,18,12,PRODUCT_SIZE
2,8,4,2,1,SCREEN_SIZE
1,7,0,5,0,PRICE
4,21,16,2,3,TITLE
1,7,0,5,0,PRICE
17,119,56,40,16,NETWORK_4G
3,11,4,4,2,CAMERA_FRONT
8,36,23,5,7,CAMERA_BACK
5,26,20,2,4,TITLE
1,6,0,4,0,PRICE
1,7,3,4,0,BATTERY_CAPACITY
2,9,2,5,1,WEIGHT
12,49,12,18,12,PRODUCT_SIZE
5,29,24,1,4,TITLE
2,11,7,2,1,OS
1,7,0,5,0,PRICE
2,40,27,5,1,WIRELESS_CONNECTIVITY
1,7,3,4,0,BATTERY_CAPACITY
1,7,3,4,0,CPU
2,16,11,2,1,CPU_CORES
2,15,4,6,2,CAMERA_BACK
12,49,12,18,12,PRODUCT_SIZE
2,8,2,4,1,WEIGHT
5,27,21,2,4,TITLE
1,7,0,5,0,PRICE
3,53,40,2,2,WIRELESS_CONNECTIVITY
4,24,14,6,3,BATTERY_CAPACITY
2,17,11,3,1,CPU_CORES
2,12,3,4,1,CAMERA_FRONT
8,47,35,3,7,CAMERA_BACK
12,50,12,19,12,PRODUCT_SIZE
2,8,4,2,1,SCREEN_SIZE
2,7,3,3,1,SCREEN_PPI
3,26,20,2,2,SCREEN_TYPE
3,23,16,3,2,CAMERA_BACK
4,22,17,2,3,TITLE
5,28,22,2,4,TITLE
1,7,0,5,0,PRICE
4,29,12,8,4,BATTERY_CAPACITY
3,23,18,3,2,CPU
12,50,12,19,12,PRODUCT_SIZE
1,3,0,3,0,SCREEN_PPI
4,22,18,1,3,TITLE
1,6,6,0,0,BRAND
3,44,27,7,2,WIRELESS_CONNECTIVITY
3,11,4,5,2,BATTERY_CAPACITY
2,17,11,3,1,CPU_CORES
2,9,2,5,1,WEIGHT
12,50,12,19,12,PRODUCT_SIZE
5,29,22,3,4,TITLE
1,7,0,5,0,PRICE
2,42,28,4,1,WIRELESS_CONNECTIVITY
7,38,20,7,8,BATTERY_CAPACITY
2,9,2,5,1,WEIGHT
12,49,12,18,12,PRODUCT_SIZE
1,6,0,4,0,PRICE
1,7,0,5,0,PRICE
12,50,12,19,12,PRODUCT_SIZE
5,26,19,3,4,TITLE
1,7,0,5,0,PRICE
12,49,12,18,12,PRODUCT_SIZE
5,27,20,3,4,TITLE
1,6,0,4,0,PRICE
1,7,3,4,0,BATTERY_CAPACITY
1,8,4,4,0,CPU
2,14,4,5,2,CAMERA_BACK
12,50,12,19,12,PRODUCT_SIZE
1,6,0,4,0,PRICE
1,7,0,5,0,PRICE
1,5,0,3,0,PRICE
4,25,20,2,3,TITLE
1,7,0,5,0,PRICE
1,7,3,4,0,BATTERY_CAPACITY
12,50,12,19,12,PRODUCT_SIZE
2,8,4,2,1,SCREEN_SIZE
6,38,29,4,5,TITLE
1,10,6,3,0,GPU
2,13,6,6,1,CPU
2,21,14,3,1,CPU_CORES
2,9,2,5,1,WEIGHT
12,50,12,19,12,PRODUCT_SIZE
3,36,32,0,2,SCREEN_TYPE
7,36,26,4,6,TITLE
1,7,0,5,0,PRICE
1,29,23,0,0,NETWORK_TYPE
3,14,3,4,3,CAMERA_FRONT
1,7,0,5,0,PRICE
2,9,2,5,1,WEIGHT
12,50,12,19,12,PRODUCT_SIZE
6,30,23,2,5,TITLE
1,7,0,5,0,PRICE
2,12,6,3,1,NETWORK_2G
2,16,11,2,1,CPU_CORES
2,9,2,5,1,WEIGHT
5,29,20,5,4,TITLE
1,7,0,5,0,PRICE
1,7,3,4,0,BATTERY_CAPACITY
2,9,2,5,1,WEIGHT
12,50,12,19,12,PRODUCT_SIZE
1,6,0,4,0,PRICE
1,7,0,5,0,PRICE
7,49,27,14,6,NETWORK_3G
1,6,0,4,0,PRICE
12,48,12,17,12,PRODUCT_SIZE
2,26,12,7,1,NETWORK_4G
4,19,13,3,3,TITLE
1,6,0,4,0,PRICE
3,48,30,7,2,WIRELESS_CONNECTIVITY
