@RELATION products

@ATTRIBUTE numberOfWords NUMERIC
@ATTRIBUTE numberOfTotalCharacters NUMERIC
@ATTRIBUTE numberOfAlphabetCharacters NUMERIC
@ATTRIBUTE class {BLUETOOTH_VERSION,RAM_TYPE,CPU_FREQ,CPU,OS_BITS,WIRELESS_CONNECTIVITY,CAMERA_BACK,BATTERY_CAPACITY,NETWORK_4G,GPU,NETWORK_2G,BATTERY_TYPE,STORAGE_SSD,RAM_CAPACITY,EXTERNAL_MEMORY,COLOR,WEIGHT,DEVICE_TYPE,OS,PRICE,CAMERA_FRONT,SIM_CARD_SLOT,SCREEN_TYPE,PRODUCT_SIZE,SCREEN_PPI,NETWORK_3G,USB_VERSION,SIM_CARD_TYPE,BRAND,ETHERNET_SPEED,SCREEN_SIZE,NETWORK_TYPE,SCREEN_RESOLUTION,CPU_CORES,STORAGE_HDD,TITLE,WIFI}

@data
1,7,0,PRICE
3,11,4,CPU
13,83,51,TITLE
14,92,59,TITLE
17,100,61,TITLE
1,7,0,PRICE
3,18,12,GPU
4,20,12,CPU
13,75,47,TITLE
1,6,0,PRICE
15,96,60,TITLE
1,6,0,PRICE
14,79,45,TITLE
1,7,0,PRICE
18,106,68,TITLE
1,7,0,PRICE
3,16,11,GPU
4,20,12,CPU
15,86,50,TITLE
21,117,67,TITLE
1,7,0,PRICE
4,22,12,CPU
14,88,58,TITLE
1,4,2,SCREEN_SIZE
15,89,54,TITLE
1,4,0,PRICE
1,6,2,SCREEN_SIZE
17,100,56,TITLE
1,7,0,PRICE
14,91,58,TITLE
1,7,0,PRICE
4,19,11,CPU
1,6,2,SCREEN_SIZE
3,11,1,SCREEN_RESOLUTION
14,94,59,TITLE
1,7,0,PRICE
4,19,11,CPU
16,96,62,TITLE
1,6,2,SCREEN_SIZE
13,75,44,TITLE
14,81,51,TITLE
1,7,0,PRICE
17,99,58,TITLE
15,86,54,TITLE
1,7,0,PRICE
16,101,60,TITLE
13,71,41,TITLE
1,7,0,PRICE
14,75,42,TITLE
1,7,0,PRICE
18,100,54,TITLE
1,6,0,PRICE
14,90,57,TITLE
1,7,0,PRICE
14,90,58,TITLE
1,7,0,PRICE
15,86,50,TITLE
1,4,0,PRICE
13,85,54,TITLE
1,7,0,PRICE
4,20,12,CPU
3,11,1,SCREEN_RESOLUTION
17,100,55,TITLE
14,77,52,TITLE
1,7,0,PRICE
1,6,2,SCREEN_SIZE
3,11,1,SCREEN_RESOLUTION
15,86,49,TITLE
1,6,0,PRICE
16,100,63,TITLE
13,69,46,TITLE
1,4,2,SCREEN_SIZE
3,11,1,SCREEN_RESOLUTION
17,89,62,TITLE
1,5,0,PRICE
3,11,1,SCREEN_RESOLUTION
14,79,48,TITLE
1,7,0,PRICE
21,119,73,TITLE
4,23,13,CPU
14,75,41,TITLE
1,7,0,PRICE
17,89,52,TITLE
1,5,0,PRICE
16,100,67,TITLE
1,7,0,PRICE
1,6,2,SCREEN_SIZE
17,98,54,TITLE
1,7,0,PRICE
1,6,2,SCREEN_SIZE
13,80,50,TITLE
1,7,0,PRICE
16,87,53,TITLE
1,7,0,PRICE
14,89,62,TITLE
1,6,2,SCREEN_SIZE
15,98,65,TITLE
1,7,0,PRICE
4,18,11,CPU
3,11,1,SCREEN_RESOLUTION
15,89,52,TITLE
1,6,0,PRICE
13,80,48,TITLE
15,100,64,TITLE
1,7,0,PRICE
3,18,11,CPU
14,82,51,TITLE
1,5,0,PRICE
12,67,41,TITLE
1,7,0,PRICE
16,98,65,TITLE
1,7,0,PRICE
3,15,10,GPU
1,3,0,CPU_FREQ
14,83,50,TITLE
1,7,0,PRICE
18,100,52,TITLE
1,7,0,PRICE
12,69,36,TITLE
1,7,0,PRICE
3,13,5,CPU
13,74,43,TITLE
5,35,31,TITLE
1,6,0,PRICE
14,75,41,TITLE
20,100,67,TITLE
1,5,0,PRICE
1,4,2,SCREEN_SIZE
3,11,1,SCREEN_RESOLUTION
15,89,54,TITLE
14,74,49,TITLE
14,92,58,TITLE
1,6,0,PRICE
3,19,13,CPU
13,76,45,TITLE
16,90,57,TITLE
1,4,0,PRICE
3,13,6,CPU
1,8,4,SCREEN_SIZE
18,98,57,TITLE
3,16,11,GPU
1,3,0,CPU_FREQ
13,84,51,TITLE
1,7,0,PRICE
12,68,40,TITLE
1,6,0,PRICE
18,94,56,TITLE
14,80,46,TITLE
14,80,47,TITLE
1,6,0,PRICE
15,92,57,TITLE
1,7,0,PRICE
13,86,51,TITLE
1,5,0,PRICE
14,85,54,TITLE
18,94,57,TITLE
3,10,1,SCREEN_RESOLUTION
19,107,62,TITLE
1,7,0,PRICE
15,86,52,TITLE
1,6,0,PRICE
14,77,48,TITLE
1,7,0,PRICE
17,98,63,TITLE
1,7,0,PRICE
16,96,62,TITLE
1,5,0,PRICE
13,75,44,TITLE
1,6,0,PRICE
13,85,55,TITLE
1,7,0,PRICE
13,76,42,TITLE
1,7,0,PRICE
2,11,10,GPU
17,99,55,TITLE
1,7,0,PRICE
15,72,46,TITLE
1,5,0,PRICE
14,83,53,TITLE
1,7,0,PRICE
14,78,48,TITLE
1,7,0,PRICE
14,77,47,TITLE
1,4,0,PRICE
3,10,1,SCREEN_RESOLUTION
13,72,47,TITLE
1,6,4,SCREEN_SIZE
18,99,53,TITLE
14,90,58,TITLE
17,100,63,TITLE
1,7,0,PRICE
18,100,61,TITLE
1,9,7,OS
1,4,2,RAM_CAPACITY
17,100,61,TITLE
1,7,0,PRICE
16,98,61,TITLE
14,89,58,TITLE
1,7,0,PRICE
1,4,2,SCREEN_SIZE
12,70,44,TITLE
4,19,11,CPU
13,63,31,TITLE
3,11,4,CPU
13,74,43,TITLE
1,7,0,PRICE
2,13,9,GPU
15,83,51,TITLE
1,7,0,PRICE
14,80,49,TITLE
1,7,0,PRICE
19,118,77,TITLE
1,7,0,PRICE
1,3,0,CPU_FREQ
14,93,60,TITLE
1,7,0,PRICE
18,100,60,TITLE
16,95,62,TITLE
18,100,66,TITLE
1,7,0,PRICE
2,7,2,CPU
16,91,52,TITLE
3,16,11,GPU
14,85,58,TITLE
1,7,0,PRICE
16,92,57,TITLE
13,69,46,TITLE
1,5,0,PRICE
13,83,46,TITLE
1,6,0,PRICE
16,93,57,TITLE
18,114,80,TITLE
15,95,59,TITLE
1,7,0,PRICE
17,100,58,TITLE
1,7,0,PRICE
13,74,45,TITLE
15,93,58,TITLE
15,88,54,TITLE
1,7,0,PRICE
16,83,54,TITLE
14,87,56,TITLE
16,100,57,TITLE
14,87,55,TITLE
14,98,60,TITLE
14,91,59,TITLE
1,6,0,PRICE
19,112,71,TITLE
1,7,0,PRICE
14,85,52,TITLE
14,100,63,TITLE
1,7,0,PRICE
19,98,56,TITLE
3,16,10,CPU
1,6,2,SCREEN_SIZE
17,99,55,TITLE
18,99,56,TITLE
1,5,0,PRICE
14,80,50,TITLE
1,7,0,PRICE
14,85,47,TITLE
16,102,64,TITLE
18,100,60,TITLE
1,7,0,PRICE
1,2,0,RAM_CAPACITY
4,23,13,CPU
1,3,0,CPU_FREQ
14,80,49,TITLE
1,7,0,PRICE
17,99,56,TITLE
1,7,0,PRICE
17,99,55,TITLE
1,7,0,PRICE
20,122,75,TITLE
15,87,54,TITLE
1,7,0,PRICE
14,88,53,TITLE
1,7,0,PRICE
17,92,56,TITLE
1,6,0,PRICE
13,88,53,TITLE
33,189,128,TITLE
13,72,46,TITLE
18,100,58,TITLE
1,7,0,PRICE
4,20,12,CPU
17,99,56,TITLE
15,85,54,TITLE
1,4,0,PRICE
13,75,42,TITLE
13,78,42,TITLE
13,71,40,TITLE
1,7,0,PRICE
16,99,64,TITLE
1,6,0,PRICE
15,94,57,TITLE
1,7,0,PRICE
3,15,10,GPU
15,89,54,TITLE
13,86,55,TITLE
1,7,0,PRICE
14,99,61,TITLE
22,125,88,TITLE
1,5,0,PRICE
4,19,11,CPU
14,81,48,TITLE
1,4,0,PRICE
12,63,35,TITLE
1,7,0,PRICE
3,11,4,CPU
1,6,2,SCREEN_SIZE
18,100,53,TITLE
1,7,0,PRICE
16,89,53,TITLE
14,83,54,TITLE
13,72,46,TITLE
12,63,40,TITLE
1,5,0,PRICE
17,100,55,TITLE
1,7,0,PRICE
15,83,47,TITLE
14,91,60,TITLE
1,6,0,PRICE
13,74,42,TITLE
1,7,0,PRICE
16,100,60,TITLE
1,7,0,PRICE
14,81,47,TITLE
1,6,0,PRICE
16,85,59,TITLE
1,5,0,PRICE
11,63,33,TITLE
1,6,0,PRICE
18,100,59,TITLE
1,7,0,PRICE
4,20,12,CPU
18,100,53,TITLE
12,70,39,TITLE
17,100,55,TITLE
1,7,0,PRICE
14,94,59,TITLE
1,7,0,PRICE
16,100,62,TITLE
13,81,54,TITLE
15,92,57,TITLE
1,6,0,PRICE
14,82,49,TITLE
1,6,0,PRICE
15,103,73,TITLE
1,7,0,PRICE
17,100,62,TITLE
1,7,0,PRICE
13,75,44,TITLE
1,4,0,PRICE
14,81,47,TITLE
1,6,0,PRICE
21,116,68,TITLE
1,7,0,PRICE
14,96,60,TITLE
1,7,0,PRICE
15,102,69,TITLE
11,59,38,TITLE
2,18,10,CPU
19,108,64,TITLE
1,7,0,PRICE
16,100,61,TITLE
1,7,0,PRICE
17,99,61,TITLE
3,13,6,CPU
13,79,49,TITLE
17,99,55,TITLE
20,109,66,TITLE
1,7,0,PRICE
17,97,56,TITLE
1,7,0,PRICE
23,139,89,TITLE
1,7,0,PRICE
16,95,62,TITLE
1,7,0,PRICE
14,93,60,TITLE
1,7,0,PRICE
17,100,55,TITLE
1,7,0,PRICE
15,82,48,TITLE
12,71,47,TITLE
1,6,0,PRICE
1,6,2,SCREEN_SIZE
15,90,59,TITLE
1,6,0,PRICE
14,94,59,TITLE
1,7,0,PRICE
13,72,46,TITLE
1,7,0,PRICE
4,22,12,CPU
3,11,1,SCREEN_RESOLUTION
18,100,57,TITLE
1,7,0,PRICE
14,90,58,TITLE
16,86,55,TITLE
1,6,0,PRICE
18,100,57,TITLE
1,7,0,PRICE
1,1,0,STORAGE_HDD
14,82,49,TITLE
14,89,57,TITLE
1,7,0,PRICE
14,91,59,TITLE
17,98,55,TITLE
1,6,0,PRICE
13,78,42,TITLE
15,83,46,TITLE
1,6,0,PRICE
15,77,45,TITLE
1,7,0,PRICE
15,91,59,TITLE
2,14,9,GPU
15,97,63,TITLE
1,6,0,PRICE
3,11,1,SCREEN_RESOLUTION
12,64,42,TITLE
14,80,49,TITLE
1,4,0,PRICE
14,73,42,TITLE
14,90,49,TITLE
1,7,0,PRICE
14,87,54,TITLE
14,89,58,TITLE
1,7,0,PRICE
15,91,54,TITLE
1,7,0,PRICE
17,97,62,TITLE
1,6,0,PRICE
4,18,11,CPU
1,6,3,CPU_FREQ
10,64,42,TITLE
2,8,2,CPU
14,79,50,TITLE
18,102,59,TITLE
1,7,0,PRICE
17,100,55,TITLE
1,7,0,PRICE
14,76,42,TITLE
1,6,0,PRICE
15,83,54,TITLE
1,7,0,PRICE
15,89,58,TITLE
14,82,48,TITLE
14,94,68,TITLE
1,6,0,PRICE
3,13,6,CPU
3,11,1,SCREEN_RESOLUTION
13,83,51,TITLE
4,19,11,CPU
14,80,51,TITLE
12,69,36,TITLE
18,104,60,TITLE
1,7,0,PRICE
18,98,55,TITLE
1,7,0,PRICE
15,88,54,TITLE
15,91,59,TITLE
1,7,0,PRICE
13,76,46,TITLE
1,6,0,PRICE
13,80,54,TITLE
14,83,52,TITLE
1,6,0,PRICE
19,108,60,TITLE
1,7,0,PRICE
17,88,52,TITLE
4,15,12,OS
16,100,64,TITLE
1,7,0,PRICE
13,77,49,TITLE
1,7,0,PRICE
17,100,58,TITLE
1,7,0,PRICE
15,93,62,TITLE
14,88,54,TITLE
14,85,53,TITLE
18,100,55,TITLE
1,7,0,PRICE
15,79,45,TITLE
1,7,0,PRICE
17,91,54,TITLE
1,5,0,PRICE
12,69,41,TITLE
2,8,2,CPU
10,50,39,TITLE
1,7,0,PRICE
13,75,46,TITLE
1,6,0,PRICE
1,8,4,SCREEN_SIZE
15,88,54,TITLE
1,7,0,PRICE
17,101,60,TITLE
1,7,0,PRICE
15,87,54,TITLE
1,7,0,PRICE
13,80,50,TITLE
1,6,0,PRICE
14,91,60,TITLE
14,96,60,TITLE
19,112,67,TITLE
14,75,41,TITLE
1,7,0,PRICE
16,90,54,TITLE
1,7,0,PRICE
14,83,52,TITLE
13,76,51,TITLE
1,6,0,PRICE
3,19,13,CPU
14,87,54,TITLE
18,105,61,TITLE
13,82,50,TITLE
1,7,0,PRICE
17,100,62,TITLE
1,7,0,PRICE
16,99,63,TITLE
1,7,0,PRICE
15,86,54,TITLE
1,7,0,PRICE
13,83,53,TITLE
1,7,0,PRICE
19,99,64,TITLE
18,101,58,TITLE
1,7,0,PRICE
15,88,55,TITLE
12,68,41,TITLE
16,96,65,TITLE
1,7,0,PRICE
16,94,57,TITLE
18,100,59,TITLE
17,100,55,TITLE
1,7,0,PRICE
14,88,61,TITLE
16,90,52,TITLE
1,7,0,PRICE
3,16,11,GPU
17,100,66,TITLE
1,7,0,PRICE
15,85,51,TITLE
1,7,0,PRICE
14,94,58,TITLE
13,74,42,TITLE
3,14,5,CPU
15,94,56,TITLE
15,86,50,TITLE
1,4,0,PRICE
18,100,66,TITLE
1,7,0,PRICE
17,89,61,TITLE
14,70,36,TITLE
12,66,44,TITLE
13,77,49,TITLE
1,6,0,PRICE
17,108,73,TITLE
17,100,56,TITLE
1,7,0,PRICE
1,8,4,SCREEN_SIZE
15,85,52,TITLE
1,7,0,PRICE
12,59,30,TITLE
13,78,52,TITLE
3,21,15,CPU
13,85,55,TITLE
13,76,43,TITLE
18,105,67,TITLE
16,82,48,TITLE
1,7,0,PRICE
15,92,59,TITLE
1,7,0,PRICE
16,86,53,TITLE
1,5,0,PRICE
2,12,8,GPU
17,96,54,TITLE
15,94,55,TITLE
14,91,58,TITLE
14,91,58,TITLE
1,7,0,PRICE
17,100,60,TITLE
1,7,0,PRICE
15,94,55,TITLE
16,100,67,TITLE
1,7,0,PRICE
14,81,49,TITLE
12,72,45,TITLE
4,19,11,CPU
16,100,68,TITLE
18,99,53,TITLE
1,7,0,PRICE
17,93,57,TITLE
19,100,57,TITLE
1,7,0,PRICE
17,109,79,TITLE
1,4,0,PRICE
3,15,10,GPU
3,18,12,CPU
17,99,53,TITLE
1,7,0,PRICE
14,83,51,TITLE
1,7,0,PRICE
13,81,49,TITLE
18,100,58,TITLE
4,20,12,CPU
20,111,66,TITLE
1,7,0,PRICE
16,81,48,TITLE
15,95,62,TITLE
14,88,54,TITLE
1,6,0,PRICE
22,134,84,TITLE
17,96,58,TITLE
1,7,0,PRICE
14,81,52,TITLE
1,6,0,PRICE
12,69,34,TITLE
1,6,0,PRICE
15,79,46,TITLE
15,93,60,TITLE
1,4,0,PRICE
20,111,67,TITLE
1,6,0,PRICE
14,76,52,TITLE
1,5,0,PRICE
21,115,71,TITLE
10,65,31,TITLE
3,11,4,CPU
12,73,39,TITLE
1,6,0,PRICE
19,100,59,TITLE
1,5,0,PRICE
14,77,48,TITLE
1,7,0,PRICE
15,88,54,TITLE
18,99,56,TITLE
13,77,49,TITLE
3,16,10,CPU
14,88,54,TITLE
1,6,0,PRICE
17,100,54,TITLE
1,7,0,PRICE
17,88,50,TITLE
1,7,0,PRICE
13,86,54,TITLE
1,6,0,PRICE
17,99,59,TITLE
18,108,61,TITLE
1,6,0,PRICE
1,5,2,STORAGE_HDD
13,70,46,TITLE
13,86,55,TITLE
1,6,0,PRICE
14,88,54,TITLE
1,6,2,SCREEN_SIZE
14,89,54,TITLE
15,86,54,TITLE
17,100,55,TITLE
16,100,57,TITLE
1,7,0,PRICE
3,16,11,GPU
17,100,61,TITLE
12,67,38,TITLE
15,85,54,TITLE
1,7,0,PRICE
21,116,68,TITLE
1,7,0,PRICE
6,40,34,TITLE
15,80,42,TITLE
13,79,53,TITLE
3,19,13,CPU
1,6,3,CPU_FREQ
13,79,49,TITLE
15,96,61,TITLE
1,7,0,PRICE
4,22,12,CPU
13,77,49,TITLE
17,88,54,TITLE
17,100,53,TITLE
16,100,64,TITLE
2,7,2,CPU
14,76,41,TITLE
1,7,0,PRICE
4,21,12,CPU
13,68,32,TITLE
1,4,0,PRICE
16,92,57,TITLE
1,7,0,PRICE
12,77,57,TITLE
14,95,60,TITLE
14,90,57,TITLE
13,84,54,TITLE
1,7,0,PRICE
14,93,60,TITLE
1,7,0,PRICE
14,100,65,TITLE
1,7,0,PRICE
14,76,44,TITLE
1,6,0,PRICE
20,99,64,TITLE
1,5,0,PRICE
15,87,54,TITLE
1,7,0,PRICE
15,84,52,TITLE
18,100,53,TITLE
16,88,54,TITLE
1,7,0,PRICE
11,66,44,TITLE
16,100,62,TITLE
17,99,56,TITLE
1,5,0,PRICE
14,91,58,TITLE
1,5,0,PRICE
16,95,60,TITLE
1,5,0,PRICE
16,91,56,TITLE
1,7,0,PRICE
14,80,49,TITLE
14,87,54,TITLE
1,7,0,PRICE
16,100,67,TITLE
4,17,11,CPU
3,12,1,SCREEN_RESOLUTION
17,99,56,TITLE
1,7,0,PRICE
15,93,62,TITLE
1,7,0,PRICE
14,90,58,TITLE
14,81,50,TITLE
13,79,43,TITLE
13,84,50,TITLE
1,6,0,PRICE
15,87,58,TITLE
15,88,58,TITLE
19,110,64,TITLE
21,117,70,TITLE
17,100,55,TITLE
1,7,0,PRICE
12,68,39,TITLE
21,117,71,TITLE
1,8,0,PRICE
1,3,0,CPU_FREQ
16,98,60,TITLE
4,19,11,CPU
15,85,48,TITLE
1,7,0,PRICE
15,93,60,TITLE
1,7,0,PRICE
19,115,67,TITLE
1,5,0,PRICE
20,132,81,TITLE
1,7,0,PRICE
15,89,54,TITLE
1,7,0,PRICE
15,87,54,TITLE
14,87,56,TITLE
1,4,0,PRICE
14,94,59,TITLE
18,100,59,TITLE
1,7,0,PRICE
18,109,71,TITLE
1,6,0,PRICE
14,79,48,TITLE
15,87,46,TITLE
3,13,5,CPU
18,100,56,TITLE
1,7,0,PRICE
15,91,63,TITLE
1,7,0,PRICE
16,100,59,TITLE
1,7,0,PRICE
19,103,58,TITLE
14,78,51,TITLE
1,6,0,PRICE
3,13,10,CPU
14,88,59,TITLE
1,7,0,PRICE
3,11,1,SCREEN_RESOLUTION
15,96,62,TITLE
4,20,11,CPU
13,75,42,TITLE
13,68,35,TITLE
18,100,54,TITLE
16,106,65,TITLE
1,6,0,PRICE
14,91,58,TITLE
15,88,54,TITLE
1,7,0,PRICE
15,80,45,TITLE
1,6,0,PRICE
19,106,60,TITLE
1,7,0,PRICE
16,100,68,TITLE
15,85,51,TITLE
1,7,0,PRICE
4,21,12,CPU
19,112,66,TITLE
15,92,64,TITLE
1,4,0,PRICE
13,83,51,TITLE
9,58,35,TITLE
14,93,60,TITLE
15,99,61,TITLE
1,7,0,PRICE
14,89,58,TITLE
17,100,56,TITLE
15,93,62,TITLE
13,85,55,TITLE
17,100,55,TITLE
1,7,0,PRICE
17,109,79,TITLE
1,4,0,PRICE
14,80,50,TITLE
13,83,53,TITLE
1,5,0,PRICE
15,86,54,TITLE
13,86,55,TITLE
1,7,0,PRICE
15,93,61,TITLE
13,75,45,TITLE
28,168,99,TITLE
1,7,0,PRICE
17,100,55,TITLE
1,7,0,PRICE
13,83,49,TITLE
14,80,48,TITLE
1,7,0,PRICE
14,83,52,TITLE
13,63,31,TITLE
1,6,0,PRICE
2,9,7,GPU
12,66,41,TITLE
13,67,37,TITLE
1,7,0,PRICE
13,91,58,TITLE
1,7,0,PRICE
13,76,48,TITLE
21,112,67,TITLE
20,119,70,TITLE
13,76,51,TITLE
18,113,67,TITLE
1,5,0,PRICE
16,94,55,TITLE
1,7,0,PRICE
13,78,50,TITLE
14,81,47,TITLE
1,7,0,PRICE
14,74,49,TITLE
1,5,0,PRICE
14,84,51,TITLE
18,100,56,TITLE
14,94,56,TITLE
15,85,50,TITLE
1,4,0,PRICE
14,81,47,TITLE
18,123,87,TITLE
2,12,8,GPU
13,84,55,TITLE
17,90,61,TITLE
20,109,63,TITLE
1,6,0,PRICE
3,16,10,CPU
14,90,56,TITLE
15,86,54,TITLE
18,100,57,TITLE
16,100,55,TITLE
14,100,66,TITLE
3,15,10,OS
1,7,0,PRICE
4,20,12,CPU
3,10,1,SCREEN_RESOLUTION
9,52,35,TITLE
14,79,49,TITLE
13,83,51,TITLE
16,100,71,TITLE
18,99,65,TITLE
1,6,2,SCREEN_SIZE
16,85,59,TITLE
14,84,51,TITLE
21,123,87,TITLE
1,5,0,PRICE
14,87,57,TITLE
11,65,42,TITLE
13,72,40,TITLE
1,6,2,SCREEN_SIZE
18,124,87,TITLE
14,85,54,TITLE
1,7,0,PRICE
15,87,54,TITLE
20,100,64,TITLE
15,94,56,TITLE
14,94,59,TITLE
14,90,56,TITLE
1,7,0,PRICE
17,98,59,TITLE
1,7,0,PRICE
18,100,59,TITLE
1,7,0,PRICE
15,84,55,TITLE
14,79,49,TITLE
1,7,0,PRICE
4,22,12,CPU
19,100,57,TITLE
13,74,45,TITLE
16,85,58,TITLE
1,5,0,PRICE
14,94,56,TITLE
19,105,60,TITLE
19,107,60,TITLE
18,100,58,TITLE
1,7,0,PRICE
15,96,62,TITLE
12,64,42,TITLE
16,80,48,TITLE
15,95,62,TITLE
14,76,41,TITLE
2,9,7,GPU
16,100,67,TITLE
15,107,71,TITLE
1,7,0,PRICE
15,86,54,TITLE
1,7,0,PRICE
19,117,69,TITLE
22,126,72,TITLE
1,7,0,PRICE
14,102,62,TITLE
19,103,58,TITLE
13,78,49,TITLE
18,93,64,TITLE
14,90,54,TITLE
12,76,44,TITLE
1,6,0,PRICE
14,93,58,TITLE
1,7,0,PRICE
14,95,59,TITLE
14,82,51,TITLE
1,7,0,PRICE
12,66,36,TITLE
14,86,55,TITLE
1,7,0,PRICE
16,100,63,TITLE
1,7,0,PRICE
3,16,10,CPU
12,63,40,TITLE
1,4,0,PRICE
14,90,58,TITLE
17,100,54,TITLE
4,20,12,CPU
13,72,46,TITLE
15,85,51,TITLE
1,7,0,PRICE
17,100,63,TITLE
15,91,59,TITLE
1,7,0,PRICE
4,22,12,CPU
1,8,4,SCREEN_SIZE
15,78,46,TITLE
16,88,58,TITLE
1,5,0,PRICE
14,89,57,TITLE
13,74,45,TITLE
15,83,51,TITLE
1,7,0,PRICE
17,102,60,TITLE
1,7,0,PRICE
18,102,60,TITLE
11,78,55,TITLE
15,83,44,TITLE
1,7,0,PRICE
15,89,55,TITLE
1,7,0,PRICE
15,94,55,TITLE
17,95,53,TITLE
13,73,45,TITLE
4,18,11,CPU
1,8,4,SCREEN_SIZE
15,87,54,TITLE
1,7,0,PRICE
2,12,10,RAM_TYPE
1,6,2,SCREEN_SIZE
11,57,34,TITLE
3,23,18,OS
2,8,7,SIM_CARD_TYPE
1,6,0,PRICE
2,12,9,CAMERA_FRONT
2,10,6,SCREEN_SIZE
3,14,8,SCREEN_RESOLUTION
11,63,36,TITLE
2,12,9,CAMERA_FRONT
11,63,40,TITLE
3,20,15,OS
2,12,3,CPU_FREQ
2,10,6,SCREEN_SIZE
15,89,59,TITLE
3,18,13,OS
2,9,8,SIM_CARD_TYPE
1,4,0,PRICE
1,5,2,RAM_CAPACITY
2,11,9,CAMERA_FRONT
2,14,7,SCREEN_RESOLUTION
11,58,35,TITLE
2,12,3,CPU_FREQ
2,10,6,SCREEN_SIZE
11,65,42,TITLE
1,6,0,PRICE
2,11,9,CAMERA_FRONT
4,17,7,SCREEN_RESOLUTION
12,67,43,TITLE
2,16,7,SCREEN_RESOLUTION
10,50,34,TITLE
2,10,6,SCREEN_RESOLUTION
11,64,37,TITLE
10,54,35,TITLE
2,12,9,CAMERA_FRONT
1,4,1,SCREEN_RESOLUTION
11,68,45,TITLE
3,20,15,OS
10,54,35,TITLE
2,5,3,OS
1,3,0,PRICE
2,9,8,CPU_CORES
10,59,37,TITLE
3,18,13,OS
2,14,13,CPU
2,12,3,CPU_FREQ
2,10,6,SCREEN_SIZE
2,16,7,SCREEN_RESOLUTION
10,59,38,TITLE
1,5,5,OS
1,7,0,PRICE
2,10,6,SCREEN_SIZE
12,66,44,TITLE
1,6,2,CPU
2,8,6,SCREEN_SIZE
11,64,41,TITLE
10,60,38,TITLE
11,57,36,TITLE
1,3,0,PRICE
2,14,7,SCREEN_RESOLUTION
9,53,40,TITLE
10,56,35,TITLE
9,52,34,TITLE
1,6,0,PRICE
9,50,29,TITLE
1,4,0,PRICE
1,2,1,CPU
12,68,44,TITLE
2,12,3,CPU_FREQ
10,52,33,TITLE
1,5,0,PRICE
12,65,41,TITLE
1,6,0,PRICE
11,64,37,TITLE
11,63,40,TITLE
1,7,0,PRICE
1,9,1,SCREEN_RESOLUTION
11,62,42,TITLE
1,6,0,PRICE
1,7,1,SCREEN_RESOLUTION
15,75,54,TITLE
2,14,10,CPU
10,55,35,TITLE
1,3,0,PRICE
11,64,37,TITLE
1,6,0,PRICE
8,47,36,TITLE
1,5,0,PRICE
13,73,51,TITLE
1,5,0,PRICE
2,11,9,CAMERA_FRONT
2,8,6,SCREEN_SIZE
11,65,43,TITLE
11,63,36,TITLE
11,60,39,TITLE
1,5,0,PRICE
10,56,37,TITLE
10,55,36,TITLE
3,23,18,OS
1,6,0,PRICE
9,50,32,TITLE
11,64,37,TITLE
10,53,33,TITLE
11,58,36,TITLE
11,60,40,TITLE
11,65,42,TITLE
10,58,35,TITLE
2,6,3,OS
1,4,0,PRICE
10,58,36,TITLE
1,6,0,PRICE
2,12,3,CPU_FREQ
12,67,43,TITLE
1,6,0,PRICE
12,68,40,TITLE
11,65,42,TITLE
12,66,41,TITLE
13,69,44,TITLE
9,49,30,TITLE
2,12,9,CAMERA_FRONT
11,64,42,TITLE
2,12,3,CPU_FREQ
2,12,9,CAMERA_FRONT
10,55,33,TITLE
12,66,41,TITLE
1,4,0,PRICE
10,55,35,TITLE
1,3,0,PRICE
9,59,37,TITLE
2,12,11,SIM_CARD_TYPE
1,7,0,PRICE
2,14,10,CPU
11,64,37,TITLE
10,50,35,TITLE
1,6,0,PRICE
2,8,6,SCREEN_SIZE
11,60,40,TITLE
10,57,35,TITLE
1,4,0,PRICE
11,62,38,TITLE
1,4,0,PRICE
10,54,34,TITLE
11,61,40,TITLE
1,6,0,PRICE
10,57,34,TITLE
1,6,0,PRICE
13,65,47,TITLE
2,8,3,CPU_FREQ
10,58,35,TITLE
1,3,0,PRICE
10,53,34,TITLE
1,5,0,PRICE
10,54,35,TITLE
11,59,38,TITLE
4,20,15,SIM_CARD_TYPE
1,6,0,PRICE
12,67,43,TITLE
10,58,36,TITLE
11,67,45,TITLE
2,14,10,CPU
2,12,9,CAMERA_FRONT
2,16,7,SCREEN_RESOLUTION
9,51,33,TITLE
11,63,40,TITLE
10,49,34,TITLE
1,6,0,PRICE
11,63,36,TITLE
11,56,35,TITLE
1,5,0,PRICE
9,51,28,TITLE
1,3,0,PRICE
1,7,3,CPU
9,43,26,TITLE
4,19,13,TITLE
2,14,10,CPU
11,59,39,TITLE
1,4,0,PRICE
11,64,41,TITLE
10,52,30,TITLE
3,17,13,CAMERA_FRONT
2,10,6,SCREEN_SIZE
12,61,40,TITLE
1,5,0,PRICE
12,66,41,TITLE
1,4,0,PRICE
12,67,43,TITLE
2,14,10,CPU
2,14,9,CAMERA_FRONT
11,58,35,TITLE
9,45,32,TITLE
11,58,35,TITLE
1,6,0,PRICE
10,53,32,TITLE
2,14,10,CPU
1,7,3,CPU_FREQ
11,63,36,TITLE
1,7,0,PRICE
10,59,38,TITLE
1,7,0,PRICE
11,60,37,TITLE
9,50,31,TITLE
11,64,41,TITLE
1,7,0,PRICE
10,56,37,TITLE
1,6,0,PRICE
