Configuration	ErrorRate	Precision	Recall	F-Measure
{HiddenLayers=i, LearningRate=0.30000000000000004, Momentum=0.30000000000000004, TrainingTime=600, Decay=false, NormalizeAttributes=true}	20.59%	78.18%	79.41%	78.05%
{HiddenLayers=i, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=400, Decay=false, NormalizeAttributes=true}	20.63%	77.25%	79.37%	77.81%
{HiddenLayers=o, LearningRate=0.5, Momentum=0.1, TrainingTime=200, Decay=false, NormalizeAttributes=true}	20.67%	77.75%	79.33%	77.78%
{HiddenLayers=a, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=200, Decay=false, NormalizeAttributes=true}	20.72%	77.19%	79.28%	77.31%
{HiddenLayers=i, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=800, Decay=false, NormalizeAttributes=true}	20.72%	77.16%	79.28%	77.63%
{HiddenLayers=t, LearningRate=0.5, Momentum=0.30000000000000004, TrainingTime=200, Decay=false, NormalizeAttributes=true}	20.80%	77.69%	79.20%	77.74%
{HiddenLayers=a, LearningRate=0.30000000000000004, Momentum=0.30000000000000004, TrainingTime=200, Decay=false, NormalizeAttributes=true}	20.82%	77.54%	79.18%	77.45%
{HiddenLayers=i, LearningRate=0.1, Momentum=0.1, TrainingTime=800, Decay=false, NormalizeAttributes=true}	20.84%	77.31%	79.16%	77.34%
{HiddenLayers=a,t, LearningRate=0.1, Momentum=0.1, TrainingTime=200, Decay=false, NormalizeAttributes=true}	20.91%	75.75%	79.09%	76.84%
{HiddenLayers=o, LearningRate=0.5, Momentum=0.5, TrainingTime=200, Decay=false, NormalizeAttributes=true}	20.93%	78.09%	79.07%	77.82%
{HiddenLayers=a, LearningRate=0.5, Momentum=0.1, TrainingTime=200, Decay=false, NormalizeAttributes=true}	20.95%	77.73%	79.05%	77.62%
{HiddenLayers=t, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=200, Decay=false, NormalizeAttributes=true}	20.99%	77.43%	79.01%	77.43%
