@RELATION phones

@ATTRIBUTE numberOfWords NUMERIC
@ATTRIBUTE numberOfTotalCharacters NUMERIC
@ATTRIBUTE numberOfAlphabetCharacters NUMERIC
@ATTRIBUTE numberOfNumericCharacters NUMERIC
@ATTRIBUTE numberOfWhiteSpaceCharacters NUMERIC
@ATTRIBUTE numberOfSpecialCharacters NUMERIC
@ATTRIBUTE isNumericValue {true, false}
@ATTRIBUTE isIntegralNumericValue {true, false}
@ATTRIBUTE isDecimalNumericValue {true, false}
@ATTRIBUTE isPrefixedNumber {true, false}
@ATTRIBUTE isPostfixedNumber {true, false}
@ATTRIBUTE class {BLUETOOTH_VERSION,CPU,WIRELESS_CONNECTIVITY,CAMERA_BACK,BATTERY_CAPACITY,NETWORK_4G,GPU,NETWORK_2G,BATTERY_TYPE,EXTERNAL_MEMORY,WEIGHT,DEVICE_TYPE,OS,PRICE,CAMERA_FRONT,SIM_CARD_SLOT,SCREEN_TYPE,PRODUCT_SIZE,SCREEN_PPI,NETWORK_3G,SIM_CARD_TYPE,BRAND,SCREEN_SIZE,ROM,NETWORK_TYPE,SCREEN_RESOLUTION,CPU_CORES,TITLE,WIFI,RAM}

@data
4,22,17,2,3,0,false,false,false,false,false,TITLE
1,4,1,2,0,1,false,false,false,true,false,BLUETOOTH_VERSION
1,7,0,5,0,2,false,false,false,true,false,PRICE
3,43,33,2,2,6,false,false,false,false,false,WIRELESS_CONNECTIVITY
15,105,49,36,14,6,false,false,false,false,false,NETWORK_4G
9,65,36,18,8,3,false,false,false,false,false,NETWORK_3G
1,25,20,0,0,5,false,false,false,false,false,NETWORK_TYPE
1,7,3,4,0,0,false,false,false,false,true,BATTERY_CAPACITY
1,6,2,3,0,1,false,false,false,false,true,CAMERA_BACK
2,9,2,5,1,1,false,false,false,false,true,WEIGHT
12,50,12,19,12,7,false,false,false,false,false,PRODUCT_SIZE
6,31,24,2,5,0,false,false,false,false,false,TITLE
1,7,0,5,0,2,false,false,false,true,false,PRICE
2,16,10,4,1,1,false,false,false,false,true,BATTERY_CAPACITY
12,50,12,19,12,7,false,false,false,false,false,PRODUCT_SIZE
5,27,22,1,4,0,false,false,false,false,false,TITLE
1,7,0,5,0,2,false,false,false,true,false,PRICE
3,45,34,2,2,7,false,false,false,false,false,WIRELESS_CONNECTIVITY
2,13,6,4,1,2,false,false,false,false,true,BATTERY_CAPACITY
8,43,25,5,9,4,false,false,false,false,false,CAMERA_BACK
2,9,2,5,1,1,false,false,false,false,true,WEIGHT
12,49,12,18,12,7,false,false,false,false,false,PRODUCT_SIZE
6,36,29,2,5,0,false,false,false,false,false,TITLE
1,8,8,0,0,0,false,false,false,false,false,OS
1,7,7,0,0,0,false,false,false,false,false,BRAND
1,7,0,5,0,2,false,false,false,true,false,PRICE
2,26,12,7,1,6,false,false,false,false,false,NETWORK_4G
1,24,19,0,0,5,false,false,false,false,false,NETWORK_TYPE
1,7,3,4,0,0,false,false,false,false,true,BATTERY_CAPACITY
3,23,18,3,2,0,false,false,false,true,false,CPU
2,24,14,5,1,4,false,false,false,false,false,CPU_CORES
3,11,4,4,2,1,false,false,false,false,false,CAMERA_FRONT
8,36,23,5,7,1,false,false,false,false,false,CAMERA_BACK
2,9,2,5,1,1,false,false,false,false,true,WEIGHT
12,50,12,19,12,7,false,false,false,false,false,PRODUCT_SIZE
1,3,0,3,0,0,true,true,false,false,false,SCREEN_PPI
3,21,19,0,2,0,false,false,false,false,false,SCREEN_TYPE
4,22,18,1,3,0,false,false,false,false,false,TITLE
2,8,7,0,1,0,false,false,false,false,false,SIM_CARD_SLOT
5,32,27,0,4,1,false,false,false,false,false,SIM_CARD_TYPE
2,31,21,3,1,6,false,false,false,false,false,WIRELESS_CONNECTIVITY
2,17,8,7,1,1,false,false,false,false,false,NETWORK_3G
1,7,3,4,0,0,false,false,false,true,false,CPU
2,8,2,4,1,1,false,false,false,false,true,WEIGHT
12,50,12,19,12,7,false,false,false,false,false,PRODUCT_SIZE
1,7,4,2,0,1,false,false,false,false,true,SCREEN_SIZE
1,14,13,0,0,1,false,false,false,false,false,SCREEN_TYPE
4,23,18,2,3,0,false,false,false,false,false,TITLE
2,11,10,0,1,0,false,false,false,false,false,DEVICE_TYPE
1,6,0,4,0,2,false,false,false,true,false,PRICE
2,36,24,4,1,7,false,false,false,false,false,WIRELESS_CONNECTIVITY
2,16,10,4,1,1,false,false,false,false,true,BATTERY_CAPACITY
3,19,6,5,4,4,false,false,false,false,false,CAMERA_BACK
2,9,2,5,1,1,false,false,false,false,true,WEIGHT
12,50,12,19,12,7,false,false,false,false,false,PRODUCT_SIZE
3,19,13,2,2,2,false,false,false,false,true,SCREEN_TYPE
4,25,20,2,3,0,false,false,false,false,false,TITLE
1,8,8,0,0,0,false,false,false,false,false,BRAND
1,6,0,4,0,2,false,false,false,true,false,PRICE
2,29,20,3,1,5,false,false,false,false,false,WIRELESS_CONNECTIVITY
3,11,4,5,2,0,false,false,false,false,false,BATTERY_CAPACITY
2,7,5,1,1,0,false,false,false,false,true,RAM
2,9,2,5,1,1,false,false,false,false,true,WEIGHT
12,49,12,18,12,7,false,false,false,false,false,PRODUCT_SIZE
5,23,17,2,4,0,false,false,false,false,false,TITLE
1,3,3,0,0,0,false,false,false,false,false,BRAND
1,7,0,5,0,2,false,false,false,true,false,PRICE
9,60,28,21,8,3,false,false,false,false,false,NETWORK_4G
1,7,3,4,0,0,false,false,false,false,true,BATTERY_CAPACITY
1,7,3,4,0,0,false,false,false,true,false,CPU
2,16,11,2,1,2,false,false,false,false,true,CPU_CORES
1,5,2,2,0,1,false,false,false,false,true,CAMERA_FRONT
2,9,2,5,1,1,false,false,false,false,true,WEIGHT
12,50,12,19,12,7,false,false,false,false,false,PRODUCT_SIZE
4,27,22,1,3,1,false,false,false,false,false,SCREEN_TYPE
5,25,19,2,4,0,false,false,false,false,false,TITLE
1,7,7,0,0,0,false,false,false,false,false,BRAND
1,7,0,5,0,2,false,false,false,true,false,PRICE
1,7,3,4,0,0,false,false,false,false,true,BATTERY_CAPACITY
1,3,2,1,0,0,false,false,false,false,true,RAM
2,14,4,5,2,3,false,false,false,false,false,CAMERA_BACK
2,9,2,5,1,1,false,false,false,false,true,WEIGHT
12,50,12,19,12,7,false,false,false,false,false,PRODUCT_SIZE
1,7,0,5,0,2,false,false,false,true,false,PRICE
1,7,0,5,0,2,false,false,false,true,false,PRICE
5,30,24,2,4,0,false,false,false,false,false,TITLE
1,7,0,5,0,2,false,false,false,true,false,PRICE
17,121,56,42,16,7,false,false,false,false,false,NETWORK_4G
7,49,27,14,6,2,false,false,false,false,false,NETWORK_3G
1,7,3,4,0,0,false,false,false,false,true,BATTERY_CAPACITY
1,9,5,3,0,1,false,false,false,true,false,GPU
1,8,4,4,0,0,false,false,false,false,false,CPU
2,16,11,2,1,2,false,false,false,false,true,CPU_CORES
2,14,4,5,2,3,false,false,false,false,false,CAMERA_BACK
2,9,2,5,1,1,false,false,false,false,true,WEIGHT
12,50,12,19,12,7,false,false,false,false,false,PRODUCT_SIZE
5,26,21,1,4,0,false,false,false,false,false,TITLE
1,8,8,0,0,0,false,false,false,false,false,BRAND
1,7,0,5,0,2,false,false,false,true,false,PRICE
3,18,10,3,2,3,false,false,false,false,false,NETWORK_4G
2,9,6,2,1,0,false,false,false,true,false,CPU
2,16,11,2,1,2,false,false,false,false,true,CPU_CORES
5,30,21,3,4,2,false,false,false,false,true,CAMERA_BACK
2,8,2,4,1,1,false,false,false,false,true,WEIGHT
12,50,12,19,12,7,false,false,false,false,false,PRODUCT_SIZE
4,22,16,3,3,0,false,false,false,false,false,TITLE
1,6,6,0,0,0,false,false,false,false,false,BRAND
1,7,3,4,0,0,false,false,false,false,true,BATTERY_CAPACITY
2,9,2,5,1,1,false,false,false,false,true,WEIGHT
12,50,12,19,12,7,false,false,false,false,false,PRODUCT_SIZE
5,28,22,2,4,0,false,false,false,false,false,TITLE
2,10,8,1,1,0,false,false,false,false,true,DEVICE_TYPE
1,6,0,4,0,2,false,false,false,true,false,PRICE
