@RELATION phones

@ATTRIBUTE numberOfWords NUMERIC
@ATTRIBUTE numberOfTotalCharacters NUMERIC
@ATTRIBUTE numberOfAlphabetCharacters NUMERIC
@ATTRIBUTE numberOfNumericCharacters NUMERIC
@ATTRIBUTE numberOfWhiteSpaceCharacters NUMERIC
@ATTRIBUTE numberOfSpecialCharacters NUMERIC
@ATTRIBUTE isNumericValue {true, false}
@ATTRIBUTE isIntegralNumericValue {true, false}
@ATTRIBUTE isDecimalNumericValue {true, false}
@ATTRIBUTE isPrefixedNumber {true, false}
@ATTRIBUTE isPostfixedNumber {true, false}
@ATTRIBUTE class {Hardware.CPU,Hardware.GPU,BasicInformation.ServiceProvider,Camera.Frontcamera,Battery.BatteryCapacity(mAh),root.price,Network.Networktype,BasicInformation.Type,Network.WirelessConnectivity,Network.WIFI,Network.3G,Hardware.ExternalMemory,Camera.Back-camera,Display.Screenresolution,root.title,Display.Screentype,Display.PixelsPerInch(PPI),Hardware.Cores,DimensionsandWeight.Productsize,BasicInformation.SIMCardType,OtherFeatures.BluetoothVersion,Hardware.ROM,DimensionsandWeight.Productweight,BasicInformation.SIMCardSlot,Display.Screensize,BasicInformation.OS,BasicInformation.Brand,Battery.BatteryType,Network.2G,Network.4G,Hardware.RAM}

@data
1,3,0,3,0,0,true,true,false,false,false,Display.PixelsPerInch(PPI)
3,21,19,0,2,0,false,false,false,false,false,Display.Screentype
4,22,18,1,3,0,false,false,false,false,false,root.title
2,8,7,0,1,0,false,false,false,false,false,BasicInformation.SIMCardSlot
5,32,27,0,4,1,false,false,false,false,false,BasicInformation.SIMCardType
2,31,21,3,1,6,false,false,false,false,false,Network.WirelessConnectivity
2,17,8,7,1,1,false,false,false,false,false,Network.3G
1,7,3,4,0,0,false,false,false,true,false,Hardware.CPU
2,8,2,4,1,1,false,false,false,false,true,DimensionsandWeight.Productweight
12,50,12,19,12,7,false,false,false,false,false,DimensionsandWeight.Productsize
1,7,4,2,0,1,false,false,false,false,true,Display.Screensize
1,14,13,0,0,1,false,false,false,false,false,Display.Screentype
4,23,18,2,3,0,false,false,false,false,false,root.title
2,11,10,0,1,0,false,false,false,false,false,BasicInformation.Type
1,6,0,4,0,2,false,false,false,true,false,root.price
2,36,24,4,1,7,false,false,false,false,false,Network.WirelessConnectivity
2,16,10,4,1,1,false,false,false,false,true,Battery.BatteryCapacity(mAh)
3,19,6,5,4,4,false,false,false,false,false,Camera.Back-camera
2,9,2,5,1,1,false,false,false,false,true,DimensionsandWeight.Productweight
12,50,12,19,12,7,false,false,false,false,false,DimensionsandWeight.Productsize
3,19,13,2,2,2,false,false,false,false,true,Display.Screentype
4,25,20,2,3,0,false,false,false,false,false,root.title
1,8,8,0,0,0,false,false,false,false,false,BasicInformation.Brand
1,6,0,4,0,2,false,false,false,true,false,root.price
2,29,20,3,1,5,false,false,false,false,false,Network.WirelessConnectivity
3,11,4,5,2,0,false,false,false,false,false,Battery.BatteryCapacity(mAh)
2,7,5,1,1,0,false,false,false,false,true,Hardware.RAM
2,9,2,5,1,1,false,false,false,false,true,DimensionsandWeight.Productweight
12,49,12,18,12,7,false,false,false,false,false,DimensionsandWeight.Productsize
5,23,17,2,4,0,false,false,false,false,false,root.title
1,3,3,0,0,0,false,false,false,false,false,BasicInformation.Brand
1,7,0,5,0,2,false,false,false,true,false,root.price
9,60,28,21,8,3,false,false,false,false,false,Network.4G
1,7,3,4,0,0,false,false,false,false,true,Battery.BatteryCapacity(mAh)
1,7,3,4,0,0,false,false,false,true,false,Hardware.CPU
2,16,11,2,1,2,false,false,false,false,true,Hardware.Cores
1,5,2,2,0,1,false,false,false,false,true,Camera.Frontcamera
2,9,2,5,1,1,false,false,false,false,true,DimensionsandWeight.Productweight
12,50,12,19,12,7,false,false,false,false,false,DimensionsandWeight.Productsize
4,27,22,1,3,1,false,false,false,false,false,Display.Screentype
5,25,19,2,4,0,false,false,false,false,false,root.title
1,7,7,0,0,0,false,false,false,false,false,BasicInformation.Brand
1,7,0,5,0,2,false,false,false,true,false,root.price
1,7,3,4,0,0,false,false,false,false,true,Battery.BatteryCapacity(mAh)
1,3,2,1,0,0,false,false,false,false,true,Hardware.RAM
2,14,4,5,2,3,false,false,false,false,false,Camera.Back-camera
2,9,2,5,1,1,false,false,false,false,true,DimensionsandWeight.Productweight
12,50,12,19,12,7,false,false,false,false,false,DimensionsandWeight.Productsize
1,7,0,5,0,2,false,false,false,true,false,root.price
1,7,0,5,0,2,false,false,false,true,false,root.price
5,30,24,2,4,0,false,false,false,false,false,root.title
1,7,0,5,0,2,false,false,false,true,false,root.price
17,121,56,42,16,7,false,false,false,false,false,Network.4G
7,49,27,14,6,2,false,false,false,false,false,Network.3G
1,7,3,4,0,0,false,false,false,false,true,Battery.BatteryCapacity(mAh)
1,9,5,3,0,1,false,false,false,true,false,Hardware.GPU
1,8,4,4,0,0,false,false,false,false,false,Hardware.CPU
2,16,11,2,1,2,false,false,false,false,true,Hardware.Cores
2,14,4,5,2,3,false,false,false,false,false,Camera.Back-camera
2,9,2,5,1,1,false,false,false,false,true,DimensionsandWeight.Productweight
12,50,12,19,12,7,false,false,false,false,false,DimensionsandWeight.Productsize
5,26,21,1,4,0,false,false,false,false,false,root.title
1,8,8,0,0,0,false,false,false,false,false,BasicInformation.Brand
1,7,0,5,0,2,false,false,false,true,false,root.price
3,18,10,3,2,3,false,false,false,false,false,Network.4G
2,9,6,2,1,0,false,false,false,true,false,Hardware.CPU
2,16,11,2,1,2,false,false,false,false,true,Hardware.Cores
5,30,21,3,4,2,false,false,false,false,true,Camera.Back-camera
2,8,2,4,1,1,false,false,false,false,true,DimensionsandWeight.Productweight
12,50,12,19,12,7,false,false,false,false,false,DimensionsandWeight.Productsize
4,22,16,3,3,0,false,false,false,false,false,root.title
1,6,6,0,0,0,false,false,false,false,false,BasicInformation.Brand
1,7,3,4,0,0,false,false,false,false,true,Battery.BatteryCapacity(mAh)
2,9,2,5,1,1,false,false,false,false,true,DimensionsandWeight.Productweight
12,50,12,19,12,7,false,false,false,false,false,DimensionsandWeight.Productsize
5,28,22,2,4,0,false,false,false,false,false,root.title
2,10,8,1,1,0,false,false,false,false,true,BasicInformation.Type
1,6,0,4,0,2,false,false,false,true,false,root.price
1,9,8,0,0,1,false,false,false,false,false,Network.Networktype
2,9,2,5,1,1,false,false,false,false,true,DimensionsandWeight.Productweight
12,50,12,19,12,7,false,false,false,false,false,DimensionsandWeight.Productsize
4,15,4,6,3,2,false,false,false,false,false,Display.Screenresolution
1,7,0,5,0,2,false,false,false,true,false,root.price
4,23,18,2,3,0,false,false,false,false,false,root.title
1,6,6,0,0,0,false,false,false,false,false,BasicInformation.Brand
1,6,0,4,0,2,false,false,false,true,false,root.price
2,9,2,5,1,1,false,false,false,false,true,DimensionsandWeight.Productweight
