root.title|Processor.ClockSpeed|KeySpecification.Processormanufacturer|Processor.ProcessorModel|Processor.ProcessorNumber|Storage.Harddrivecapacity|Memory.RAMMemory|root.price|Operatingsystem.OperatingSystem|Warranty.ManufacturerWarranty|KeySpecification.Screensize|Display.ScreenResolution|Display.Screensize|Battery.BatteryRunTime|KeySpecification.Colour|Connectivity.WIFI/3GConnectivity(Y/N)
samsung galaxy tab s2 exynos 5433 1.9ghz 3gb 32gb 8 inch android 5.0 tablet|1.8ghz|samsung|samsung exynos|5433|32gb|3gb|£27.97|android 5.0||8inch|2048 x 1536|8inch||black|wi-fi
lenovo phab 2 pro qualcomm 625 4gb 64gb camera android os tablet|||||||£70.97||||||||
apple ipad pro 256gb 9.7 inch ios 9 tablet - gold||apple|a9x||256gb||£680|apple ios 9|1 year warranty|9.7in|2048 x 1536|9.7in|10hours|gold|wi-fi
apple ipad pro 256gb 9.7 inch ios 9 tablet - space grey||apple|a9x||256gb||£625|apple ios 9|1 year warranty|9.7in|2048 x 1536|9.7in|10hours|space grey|wi-fi
apple ipad pro 128gb 9.7 inch ios 9 tablet - gold||apple|a9x||128gb||£610|apple ios 9|1 year warranty|9.7in|2048 x 1536|9.7in|10hours|gold|wi-fi
"samsung galaxy tab s3 9.7"" lte 32gb tablet"|2.15ghz|qualcomm|snapdragon|820|32gb|4gb|£75.97|android 7.0||9.7inch|2048 x 1536|9.7inch||black|
samsung galaxy tab s2 exynos 5433 1.9ghz 3gb 32gb 9.7 inch android 5.0 wifi tablet - gold|1.8ghz|samsung|samsung exynos|||3gb|£61.97|android 5.0||9.7inch|2048 x 1536|9.7inch||gold|wi-fi
new apple ipad 32gb wifi 9.7 inch ios tablet - space grey||apple|a9||||£340|apple ios 10|||2048 x 1536|9.7|10 hours||
new apple ipad pro wi-fi + 64gb 10.5 inch tablet - silver||apple|a10x fusion||64gb||£605|apple ios 10|1 year warranty|10.5in|2224 x 1668|10.5in|10hours|silver|wi-fi
apple ipad pro 256gb 12.9 inch ios 9 tablet - silver||apple|a9x||256gb||£825|apple ios 9|1 year warranty|12.9in|2732 x 2048|12.9in|10hours|silver|wi-fi
samsung galaxy tab s2 exynos 5433 1.9ghz 3gb 3gb 9.7 inch android 5.0 wifi tablet|1.8ghz|samsung|samsung exynos|||3gb|£400|android 5.0||9.7inch|2048 x 1536|9.7inch||black|
hp elite x2 1012 g1 core m5-6y54 8gb 256gb ssd 12 inch windows 10 professional convertible tablet|1.1ghz|intel|core m5|m5-6y54|256gb|8gb|£109.98|windows 10 pro|3 years warranty|12in|1920 x 1280|12in|10.25hours|silver|
samsung galaxy tab s2 3gb 32gb 9.7 inch android 6.0 3g tablet  - white|1.8ghz|||||3gb|£475|android 6.0||9.7in|2048 x 1536|9.7in||white|
samsung galaxy tab s2 3gb 32gb 9.7 inch android 6.0 3g tablet|1.8ghz|||||3gb|£49.97|android 6.0||9.7inch|2048 x 1536|9.7inch||black|
apple ipad pro 256gb 9.7 inch ios 9 tablet - silver|||a9x||||£680|apple ios 9|1 year warranty|9.7in|2048 x 1536|9.7in|10hours|silver|wi-fi
apple ipad pro 128gb wifi + cellular 3g/4g 12.9 inch ios 9 tablet - silver||apple|a9x||128gb||£805|apple ios 10|1 year warranty|12.9in|2732 x 2048|12.9in|10hour(s)|silver|wi-fi, 3g/4g
asus z500m-1h010a 4gb 32gb 9.7 inch android tablet|2.1ghz||mt8176|||4gb|£56.97|android 6.0|||2048 x 1536||10hours|silver|
kurio smart 2 in 1 32gb windows 8.1 quadcore wifi 8.9 inches tabley with keyboard|||||||£14.97|windows 8.1|||||||
hp elite x2 1012 g1 core m3-6y30 4gb 128gb ssd 12 inch windows 10 professional convertible tablet|900mhz|intel|core m3|m3-6y30|128gb|4gb|£122.97|windows 10 pro|3 years warranty|12in|1920 x 1280|12in|10.25hours|silver|
apple ipad pro 128gb 12.9 inch ios 9 tablet - space grey||apple|a9x||128gb||£705|apple ios 9|1 year warranty|12.9in|2732 x 2048|12.9in|10hour(s)|space grey|wi-fi
