Resource URI	root.title	Graphics.GraphicType	Graphics.GraphicsManufacturer	Graphics.Graphicscard	Graphics.GraphicsMemory	KeySpecification.Processormanufacturer	Processor.ClockSpeed	Processor.ProcessorModel	Processor.ProcessorNumber	Storage.Harddrivecapacity	Memory.Memorytype	Memory.RAMMemory	root.price	Media.OpticalDrive	Operatingsystem.OperatingSystem	Warranty.ManufacturerWarranty	KeySpecification.Screensize	KeySpecification.Storage	DisplayandKeyboard.ScreenResolution	Battery.BatteryRunTime
http://www.debenhamsplus.com/laptops/p/1170825/fujitsu-lifebook-a557-core-i5-7200u-4gb-500gb-dvd-rw-15.6-inch-windows-10-professional-laptop	fujitsu lifebook a557 core i5-7200u 4gb 500gb dvd-rw 15.6 inch windows 10 professional laptop	integrated				intel	2.5ghz	intel core i5	7200u	500gb	ddr4 sdram	4gb	£146.97	dvd-rw	windows 10 pro	1 year warranty	15.6in	500gb	1366 x 768	
http://www.debenhamsplus.com/laptops/p/1170346/acer-predator-g9-793-core-i7-6700hq-16gb-1tb-256gb-ssd-geforce-gtx-1070-dvd-rw-17.3-inch-windows-1	acer predator g9-793 core i7-6700hq 16gb 1tb + 256gb ssd geforce gtx 1070 dvd-rw 17.3 inch windows 1	dedicated	nvidia	geforce gtx 1070	8gb	intel	2.6	intel core i7	6700hq	1	ddr4 sdram	16gb	£297.97	dvd-rw	windows 10		17.3in	256	1920 x 1080	3hours
http://www.debenhamsplus.com/laptops/p/1186864/dell-vostro-5468-intel-core-i5-7200u-8gb-256gb-ssd-14.0-inch-windows-10-pro-laptop	dell vostro 5468 intel core i5-7200u 8gb 256gb ssd 14.0 inch windows 10 pro laptop	integrated				intel	2.5ghz	intel core i5	7200u		ddr4 sdram	8gb	£121.97	no optical drive	windows 10 pro	1 year warranty	14in	256gb	1366 x 768	
http://www.debenhamsplus.com/laptops/p/1197029/lenovo-n23-celeron-n3160-2gb-16gb-11.3-inch-chrome-os-chromebook-laptop	lenovo n23 celeron n3160 2gb 16gb 11.3 inch chrome os chromebook laptop	integrated				intel	1.6ghz	intel celeron	n3160	16gb	ddr3l sdram	2gb	£24.99	no optical drive	chrome os	1 year warranty	11.3in	16gb	1366 x 768	10hours
http://www.debenhamsplus.com/laptops/p/1181171/linx-1020-intel-atom-2gb-ram-32gb-hdd-10.1-windows-10-convertible-tablet-with-keyboard	"linx 1020 intel atom 2gb ram 32gb hdd 10.1"" windows 10 convertible tablet with keyboard"					intel	1.44ghz	intel atom	z8300	32gb	ddr3l sdram	2gb	£10.98	none	windows 10		10.1inch		1280 x 800	7hours
http://www.debenhamsplus.com/laptops/p/1205274/toshiba-portg-x30-d-10x-core-i5-7200u-4gb-128gb-ssd-13.3-inch-windows-10-professional-laptop	toshiba portégé x30-d-10x core i5-7200u 4gb 128gb ssd 13.3 inch windows 10 professional laptop	integrated				intel	2.5ghz	intel core i5	7200u			4gb	£207.97	no optical drive	windows 10 pro	1 year warranty	13.3in	128gb		
http://www.debenhamsplus.com/laptops/p/1134699/microsoft-surface-pro-4-core-i7-6650u-16gb-1tb-12-inch-windows-10-tablet	microsoft surface pro 4 core i7-6650u 16gb 1tb 12 inch windows 10 tablet					intel	2.2ghz	intel core i7	i7-6650u			16gb	£119.97	none	windows 10 pro	1 year warranty	12inch		2736 x 1824	9hours
http://www.debenhamsplus.com/laptops/p/1167228/msi-dominator-pro-4k-gt62vr-7re-core-i7-7820hk-32gb-1tb-512gb-ssd-geforce-gtx-1070-15.6-inch-windo	msi dominator pro 4k gt62vr 7re core i7-7820hk 32gb 1tb + 512gb ssd geforce gtx 1070 15.6 inch windo	dedicated	nvidia	geforce gtx 1070	8gb	intel	2.9	intel core i7	7820hk	1		32gb	£397.97		windows 10	2 year warranty	15.6in	512		
http://www.debenhamsplus.com/laptops/p/1203173/fujitsu-lifebook-u937-core-i7-7600u-8gb-256gb-ssd-13.3-inch-windows-10-professional-laptop	fujitsu lifebook u937 core i7-7600u 8gb 256gb ssd 13.3 inch windows 10 professional laptop	integrated				intel	2.8ghz	intel core i7	7600u		ddr4 sdram	8gb	£216.97	no optical drive	windows 10 pro	3 year warranty	13.3in	256gb	1920 x 1080	8hours
http://www.debenhamsplus.com/laptops/p/1165696/acer-chromebook-r-11-c738t-intel-celeron-n3060-4gb-32gb-ssd-11.6-inch-chrome-os-laptop	acer chromebook r 11 c738t intel celeron n3060 4gb 32gb ssd 11.6 inch chrome os laptop	integrated				intel	1.6ghz	intel celeron	n3060		ddr3l sdram	4gb	£42.97	no optical drive	chrome os	1 year warranty	11.6in	32gb	1366 x 768	
