TITLE	BLUETOOTH_VERSION	USB_VERSION	DEVICE_TYPE	SIM_CARD_SLOT	OS	OS_BITS	SIM_CARD_TYPE	BRAND	MODEL	PRICE	WIRELESS_CONNECTIVITY	NETWORK_4G	NETWORK_3G	NETWORK_2G	NETWORK_TYPE	WIFI	BATTERY_CAPACITY	BATTERY_TYPE	RAM_CAPACITY	RAM_TYPE	GPU	CPU	CPU_FREQ	CPU_CORES	EXTERNAL_MEMORY	STORAGE_SSD	STORAGE_HDD	CAMERA_FRONT	CAMERA_BACK	WEIGHT	PRODUCT_SIZE	SCREEN_SIZE	SCREEN_PPI	SCREEN_TYPE	SCREEN_RESOLUTION	COLOR	ETHERNET_SPEED
hp elitebook 840 g3 core i7-6500u 8gb 256gb ssd 14 inch windows 7 professional laptop					windows 7 pro					£243.97									8gb	ddr4 sdram		intel core i7 6500u	2.5ghz									14in			1920 x 1080		
hp spectre pro 13 core i5-6200u 8gb 256gb ssd 13.3 inch windows 10 professional laptop					windows 10 pro					£410.97									8gb	lpddr3 sdram		intel core i5 6200u	2.3ghz									13.3in			1920 x 1080		
msi pl60 7rd-004uk core i7-7500u 8gb + 128gb ssd geforce gtx 1050 2gb 15.6 inch windows 10 professional gaming laptop					windows 10 pro					£149.97									8gb		geforce gtx 1050	intel core i7 7500u	2.7ghz				1tb					15.6in					
msi stealth pro 4k gs63vr 6rf-009uk core i7-6700hq 16gb 2tb + 256gb ssd nvidia gtx 1060 6gb 15.6 inch windows 10 gaming laptop					windows 10					£544.98									16gb		geforce gtx 1060	intel core i7 6700hq					2tb					15.6in					
acer travelmate p259-g2-m-59q6 core i5-7200u 4gb 500gb dvd-rw 15.6 inch windows 10 professional laptop					windows 10 pro					£118.97									4gb	ddr4 sdram		intel core i5 7200u	2.5ghz				500gb					15.6in			1366 x 768		
msi pe72 7rd core i5-7300hq 8gb 1tb + 128gb ssd geforce gtx 1050 2gb 17.3 inch windows 10 gaming laptop					windows 10					£109.97									8gb		geforce gtx 1050	intel core i5 7300hq	2.5ghz									17.3in					
lenovo t470 core i7-7500u 8gb 256gb ssd 14 inch windows 10 professional laptop					windows 10 pro					£163.97									8gb	ddr4 sdram		intel core i7 i7-7500u	2.7ghz									14in			1920 x 1080		
new apple macbook pro core i5 3.1ghz 8gb 512gb ssd 13 inch laptop with touch bar - space grey					os x 10.12 sierra					£1795									8gb	lpddr3 sdram		intel core i5 	3.1ghz									13.3in			2560 x 1600		
toshiba satellite pro a50-c-23p core i5-6200u 4gb 500gb dvd-rw 15.6 inch windows 10 laptop					windows 10					£75.97									4gb	ddr3l sdram		intel core i5 6200u	2.3ghz				500gb					15.6in			1366 x 768		
acer aspire es1-533-c0hj celeron n3350 4gb 500gb 15.6 inch windows 10 laptop					windows 10					£37.97									4gb	ddr3l sdram		intel celeron n3350	1.1ghz				500gb					15.6in			1366 x 768		
acer travelmate p648-m-7494 core i7-6500u 4gb 128gb ssd 14 inch windows 7 professional laptop					windows 7 pro					£161.97									4gb	ddr4 sdram		intel core i7 6500u	2.5ghz									14in			1366 x 768		
toshiba portege z30-c-16p core i7-6500u 16gb 512gb ssd 13.3 inch windows 10 professional laptop					windows 10 pro					£320.97									16gb	ddr3l sdram		intel core i7 6500u	2.5ghz									13.3in			1920 x 1080		
hp elitebook 840 g4 core i5-7200u 4gb 500gb 14 inch windows 10 professional laptop					windows 10 pro					£331.97									4gb	ddr4 sdram		intel core i5 7200u	2.5ghz				500gb					14in			1920 x 1080		
hp 14-an012na amd a8-7410 8gb 1tb dvd-rw 14 inch windows 10 laptop					windows 10					£36.97									8gb	ddr3l sdram		amd a8 7410	2.2ghz				1tb					14in			1366 x 768		
dell latitude e7470 core i7-6600u 8gb 256gb ssd 14 inch windows 10 professional laptop					windows 10 pro					£269.97									8gb	ddr4 sdram		intel core i7 6600u	2.6ghz									14in			1920 x 1080		
msi ws60 intel xeon e3-1505m 16gb 1tb + 128gb ssd 15.6 inch windows 10 professional workstation lapt					windows 10 pro					£538.97									16gb			intel xeon 1505m	2.8ghz				1tb					15.6in					
new apple macbook air core i5 1.8ghz + 8gb 128gb 13 inch laptop					os x 10.12 sierra					£885									8gb	lpddr3 sdram		intel core i5 	1.8ghz									13.3in			1440 x 900		
fujitsu lifebook t937 core i7-7600u 8gb 256gb ssd 13.3 inch windows 10 professional laptop					windows 10 pro					£207.97									8gb	ddr4 sdram		intel core i7 7600u	3.9ghz									13.3in			1920 x 1080		
msi titan sli gt83vr 6rf-028uk core i7-6920hq 64gb 1tb + 512gb ssd 2xgeforce gtx 1080 18.4 inch wind					windows 10					£484.97									64		geforce gtx 1080	intel core i7 6920hq	2.9				1					18.4inch					
new apple macbook pro core i5 2.3ghz + 8gb 256gb 13 inch laptop - silver					os x 10.12 sierra					£1355									8gb	lpddr3 sdram		intel core i5 	2.3ghz									13.3in			2560 x 1600		
hp pro book 455 amd a9-9410 4gb 500gb dvd-rw 15.6 inch windows 10 professional laptop					windows 10 pro					£114.98									4gb	ddr4 sdram		amd a9 9410	1.8ghz				500gb					15.6in			1920 x 1080		
pc specialist optimus viii bd17 core i7-7700hq 8gb 1tb 128gb ssd geforce gtx 1050ti 17.3 inch window					windows 10					£184.97									8gb		geforce gtx 1050ti	intel core i7 7700hq	2.8				1					17.3in					
fujitsu stylistic r726 core i7 6600u 8gb 512gb ssd 12.5 inch windows 10 professional tablet					windows 10 pro					£277.97									8gb	lpddr3 sdram		intel core i7 i7-6600u	2.6ghz									12.5inch			1920 x 1080		
apple macbook core m5 8gb 512gb 12 inch os x 10.12 sierra laptop - silver 2016					apple os x 10.12 sierra					£1425									8gb	lpddr3 sdram		intel core m5 	1.2ghz									12in			2304 x 1440		
new apple macbook pro core i7 2.9ghz + 16gb 512gb 15 inch laptop with touch bar - silver					os x 10.12 sierra					£2574									16gb	lpddr3 sdram		intel core i7 	2.9ghz									15.6in			2880 x 1800		
asus zenbook ux310ua core i5-7200u 8gb 256gb ssd 13.3 inch windows 10 professional laptop					windows 10 pro					£114.97									8gb	ddr4 sdram		intel core i5 i5-7200u	2.5ghz									13.3in			1920 x 1080		
acer swift sf114-31 intel pentium n3710 4gb 64gb 14 inch windows 10 laptop					windows 10					£34.97									4gb	ddr3l sdram		intel pentium n3710	1.6ghz				64gb					14in			1366 x 768		
hp zbook 15 g3 core i7-6700hq 8gb 256gb ssd 15.6 inch windows 7 professional laptop					windows 7 pro					£325.97									8gb	ddr4 sdram		intel core i7 6700hq	2.6ghz									15.6in			1920 x 1080		
asus rog gl702vm core i7-7700hq 16gb 1tb+256gb ssd geforce gtx 1060 17.3 inch windows 10 gaming laptop					windows 10					£403.97									16gb	ddr4 sdram	geforce gtx 1060	intel core i7 7700hq	2.8ghz				1tb					17.3in			1920 x 1080		
asus rog gl502vm core i5-7300hq 12gb 256gb ssd geforce gtx 1060 3gb 15.6 inch windows 10 gaming laptop					windows 10					£204.97									12gb	ddr4 sdram	geforce gtx 1060	intel core i5 7300hq	2.5ghz									15.6in			1920 x 1080		
microsoft surface book core i7-6600u 16gb 512gb windows 10 professional laptop					windows 10 pro					£332.97									16gb	lpddr3 sdram	geforce 940m	intel core i7 6600u	2.6ghz									13.5in			3000 x 2000		
"hp probook 650 g2 core i5-6200u 8gb 256gb ssd 15.6"" dvd-sm windows 10 pro laptop"					windows 10					£184.99									8gb	ddr4 sdram		intel core i5 6200u	2.3ghz									15.6in			1920 x 1080		
hp elitebook x360 g2 core i5-7200u 8gb 256gb ssd 13.3 inch windows 10 professional laptop					windows 10 pro					£561.97									8gb	ddr4 sdram		intel core i5 7200u	2.5ghz									13.3in			1920 x 1080		
hp pavilion x360 13-u117na core i5-7200u 8gb 256gb ssd 13.3 inch windows 10 convertible laptop					windows 10					£68.97									8gb			intel core i5 7200u	2.5ghz									13.3in					
asus zenbook ux510uw core i7-7500 16gb 1tb+256gb ssd geforce gtx 960 15.6 inch 4k win 10 laptop					windows 10 home					£259.97									8gb	ddr4 sdram	geforce gtx 960m	intel core i7 i7-7500u	2.7				1					15.6in			3840 x 2160		
asus transformer 3 core m3-7y30 4gb 256gb ssd 12.6 inch windows 10 tablet					windows 10					£133.97									4gb			intel core m3 7y30					256gb					12.6inch					
lenovo miix 510 core i7-7500u 8gb 256gb ssd 12.2 inch windows 10 pro touchscreen laptop					windows 10					£149.99									8gb	lpddr4 sdram		intel core i7 7500u	2.7ghz									12.2in			1920 x 1200		
DB PHONES																																					
"honor 8 blue 5.2"" 32gb 4g dual sim unlocked & sim free"					android 6.0 marshmallow		nano sim			£94.99									4gb				2.3ghz	octa core		32gb		12 megapixel	12 megapixel			5.2 inches			1080p and over		
"samsung galaxy a5 2017 gold 5.2"" 32gb 4g unlocked & sim free"					android 6.0 marshmallow		nano sim			£56.97									3gb					octa core		32gb		16 megapixel	16 megapixel			5.2 inches			1080p and over		
"samsung galaxy s6 edge gold 5.1"" 32gb 4g unlocked & sim free"					android 5.1 lollipop		nano sim			£134.98									3gb				2.1 & 1.5ghz	octa core		32gb		16 megapixel	16 megapixel			5.1 inches			1080p and over		
"samsung galaxy xcover 3 dark silver value edition 2016 4.5"" 8gb 4g unlocked & sim free"					android 4.4 kitkat		micro sim			£195									1.5gb					quad core		8gb		5 megapixel	5 megapixel			4.5 inches			480x800 pixels		
"honor 6x gold 5.5"" 32gb 4g dual sim unlocked & sim free"					android 6.0 marshmallow		dual sim			£69.97									3gb				2.1 & 1.7ghz	octa core		32gb		12 megapixel	12 megapixel			5.5 inches			1080p and over		
"alcatel a5 led metallic black 5.2"" 16gb 4g unlocked & sim free"					android 6.0 marshmallow		nano sim			£10.97									2gb					octa core		16gb		8 megapixel	8 megapixel			5.2 inches			1280 x 720 pixels		
"honor 8 midnight black 5.2"" 32gb 4g dual sim unlocked & sim free"					android 6.0 marshmallow		nano sim			£94.99									4gb					octa core		32gb		12 megapixel	12 megapixel			5.2 inches			1920x1080 pixels		
lenovo b white 4.5 inch 8gb 4g unlocked & sim free					android 6.0 marshmallow		micro sim			£10.97									1gb					quad core		8gb		5 megapixel	5 megapixel			4.5 inches			under 720p		
"samsung galaxy a5 2017 black 5.2"" 32gb 4g unlocked & sim free"					android 6.0 marshmallow		nano sim			£70.97									3gb					octa core		32gb		16 megapixel	16 megapixel			5.2 inches			1080p and over		
"sony xperia xa black 5"" 16gb 4g unlocked & sim free"					android 6.0 marshmallow		nano sim			£54.97									2gb				2ghz	octa core		16gb		13 megapixel	13 megapixel						720p		
"samsung galaxy s6 black sapphire 5.1"" 32gb 4g unlocked & sim free"					android 5.0 lollipop		nano sim			£114.99									3gb					octa core		32gb		16 megapixel	16 megapixel			5.1 inches			1080p and over		
"apple iphone se gold 4"" 32gb 4g unlocked & sim free"					ios 9		nano sim			£44									2gb					dual core		32gb		12 megapixel	12 megapixel						under 720p		
"samsung galaxy s8 black 5.8"" 64gb 4g unlocked & sim free"					android 7.0 nougat		nano sim			£89.97									4gb			samsung exynos	2.4 & 1.9ghz			64gb		12 megapixel	12 megapixel			5.8 inches			1440x2960 pixels		
"amazon fire phone black 4.7"" 32gb 4g unlocked & sim free"					other		nano sim			£205.99									2gb					quad core		32gb		13 megapixel	13 megapixel			4.7 inches			720p		
"archos 50 titanium black 5"" 8gb 4g dual sim unlocked & sim free"					android 5.1 lollipop		nano sim			£30.97									1gb			sc9830				8gb		5 megapixel	5 megapixel			5 inches			under 720p		
"samsung galaxy s7 edge white 5.5"" 32gb 4g unlocked & sim free"					android 6.0 marshmallow		nano sim			£280.97									4gb				2.3ghz					12 megapixel	12 megapixel			5.5 inches					
"cat s30 rugged smartphone 4.5"" 8gb 4g unlocked & sim free"					android 5.1 lollipop		nano sim			£74.99									1gb				1.1ghz	quad core		8gb		5 megapixel	5 megapixel			4.5 inches			under 720p		
"alcatel u5 3g sharp blue 5"" 8gb 3g unlocked & sim free"					android 7.0 nougat		micro sim			£26									1gb					quad core		8gb		5 megapixel	5 megapixel			5 inches			854x480 pixels		
samsung galaxy s6 topaz blue 32gb unlocked & sim free					android 5.0 lollipop		nano sim			£84.97									3gb					octa core		32gb		16 megapixel	16 megapixel			5.1 inches			1080p and over		
"archos 50 saphir black 5"" 16gb 4g unlocked & sim free"					android 6.0 marshmallow		nano sim			£24.97									2gb					quad core		16gb		13 megapixel	13 megapixel			5 inches			720p		
"cubot manito white 5"" 16gb 4g unlocked & sim free"					android 6.0 marshmallow		micro sim			£25.99									3gb					quad core		16gb		13 megapixel	13 megapixel			5 inches			720p		
"iphone 6s gold 4.7"" 32gb 4g unlocked & sim free"					ios 9		nano sim			£500												a9				32gb		12 megapixel	12 megapixel								
"samsung galaxy s7 flat pink gold 5.1"" 32gb 4g unlocked & sim free"					android 6.0 marshmallow		nano sim			£274.97									4gb				2.1 & 1.6ghz	quad core		32gb		12 megapixel	12 megapixel			5.1 inches			1080p and over		
"alcatel pop 4 black 5"" 8gb 4g unlocked & sim free"					android 6.0 marshmallow		micro sim			£9.99									1gb					quad core		8gb		8 megapixel	8 megapixel			5 inches			720p		
samsung galaxy a3 2016 black 4.7 inch 16gb 4g unlocked & sim free					android 5.1 lollipop		nano sim			£50.99									1.5gb					quad core		16gb		13 megapixel	13 megapixel			4.7 inches			720p		
"samsung galaxy a3 2016 white 4.7"" 16gb 4g unlocked & sim free"					android 5.1 lollipop		nano sim			£50.99									1.5gb					quad core		16gb		13 megapixel	13 megapixel			4.7 inches			720p		
"samsung galaxy s7 flat gold 5.1"" 32gb 4g unlocked & sim free"					android 6.0 marshmallow		nano sim			£260.02									4gb				2.3ghz			32gb		12 megapixel	12 megapixel			5.1 inches			1080x1920		
"motorola moto c starry black 5"" 16gb 4g unlocked & sim free"					android 7.0 nougat		micro sim			£15.97									1gb				1.1ghz	quad core		16gb		5 megapixel	5 megapixel			5 inches			854x480		
wileyfox swift 2 plus rose pink 5 inch 32gb 4g dual sim unlocked & sim free					android 6.0 marshmallow		micro sim			£44.97									3gb			snapdragon 430				32gb		16 megapixel	16 megapixel			5 inches			720p		
"cubot rainbow 2 black 5"" 16gb 3g unlocked & sim free"					android 7.0 nougat		micro sim			£79									1gb					quad core		16gb		12 megapixel	12 megapixel			5 inches			720p		
"samsung galaxy j5 2016 white 5.2"" 16gb 4g unlocked & sim free"					android 6.0 marshmallow		micro sim			£40.99									2gb					quad core		16gb		13 megapixel	13 megapixel			5.2 inches			720p		
cat b25 rugged phone black simfree - single sim					other					£2.97																											
"nuu a1 black 4"" 4gb android 3g dual sim smartphone unlocked & sim free"					android 5.1 lollipop		micro sim			£7.97									512mb					quad core		4gb		2 megapixel	2 megapixel			4 inches			480x800 pixels		
"cubot dinosaur black 5.5"" 16gb 4g dual sim unlocked & sim free"					android 6.0 marshmallow		micro sim			£24.99									3gb					quad core		16gb		13 megapixel	13 megapixel			5.5 inches			720p		
"samsung galaxy a5 2017 blue 5.2"" 32gb 4g unlocked & sim free"					android 6.0 marshmallow		nano sim			£54.97									3gb					octa core		32gb		16 megapixel	16 megapixel			5.2 inches			1080p and over		
"motorola moto e4 iron grey 5"" 16gb 4g unlocked & sim free"					android 7.0 nougat		nano sim			£6.97									2gb					quad core		16gb		8 megapixel	8 megapixel			5 inches			1280 x 720 pixels		
"apple iphone se silver 4"" 64gb 4g unlocked & sim free"					ios 9		nano sim			£405									2gb					dual core		64gb		12 megapixel	12 megapixel			4 inches			under 720p		
"motorola moto e3 white 5"" 8gb 4g unlocked & sim free"					android 6.0 marshmellow		micro sim			£18.99									1gb					quad core		8gb		8 megapixel	8 megapixel			5 inches			720p		
"cubot echo black 5"" 16gb 3g unlocked & sim free"					android 6.0 marshmallow		micro sim			£20.97									2gb					quad core		16gb		13 megapixel	13 megapixel			5 inches			720p		
"samsung galaxy a3 2017 black 4.7"" 16gb 4g unlocked & sim free"					android 6.0 marshmallow		nano sim			£42.97									2gb				1.6ghz	octa core		16gb		13 megapixel	13 megapixel			4.7 inches			720p		
"cubot rainbow 2 red 5"" 16gb 3g unlocked & sim free"					android 7.0 nougat		nano sim			£79									1gb					quad core		16gb		12 megapixel	12 megapixel			5 inches			720p		
"htc u play indigo blue 5.2"" 32gb 4g unlocked & sim free"					android 6.0 marshmallow		nano sim			£53.97									3gb				2ghz	octa core		32gb		16 megapixel	16 megapixel			5.2 inches			1080p and over		
"apple iphone se space grey 4"" 16gb 4g unlocked & sim free"					ios 9		nano sim			£54.99									2gb					dual core		16gb		12 megapixel	12 megapixel			4 inches			under 720p		
"samsung galaxy s6 white pearl 5.1"" 32gb 4g unlocked & sim free"					android 5.0 lollipop		nano sim			£114.99									3gb					octa core		32gb		16 megapixel	16 megapixel			5.1 inches			1080p and over		
"apple iphone 7 silver 4.7"" 128gb 4g unlocked & sim free"					ios 10		nano sim			£694									2gb					quad core		128gb		12 megapixel	12 megapixel			4.7 inches			720p		
"motorola moto g4 black 5.5"" 16gb 4g unlocked & sim free"					android 6.0 marshmallow		micro sim			£39.99									2gb				1.5 & 1.2ghz	octa core		16gb		13 megapixel	13 megapixel			5.5 inches			1080p and over		
"motorola moto e4 plus fine gold 5.5"" 16gb 4g unlocked & sim free"					android 7.0 nougat		nano sim			£12.97									3gb					quad core		16gb		13 megapixel	13 megapixel			5.5 inches			1280 x 720 pixels		
"samsung galaxy a5 2016 pink gold 5.2"" 16gb 4g unlocked & sim free"					android 5.1 lollipop		nano sim			£71.97									2gb				1.5 & 1.2ghz	octa core		16gb		13 megapixel	13 megapixel						1080p and over		
"samsung galaxy s8 orchid grey 5.8"" 64gb 4g unlocked & sim free"					android 7.0 nougat		nano sim			£69.97									4gb			samsung exynos	2.4 & 1.9ghz			64gb		12 megapixel	12 megapixel			5.8 inches			1440x2960 pixels		
"apple iphone 7 plus jet black 5.5"" 256gb 4g unlocked & sim free"					ios 10		nano sim			£44									3gb					quad core		256gb		12 megapixel	12 megapixel			5.5 inches			1080p and over		
samsung galaxy a3 2016 pink gold 4.7 inch 16gb 4g unlocked & sim free										£20.97									1.5gb				1.5ghz														
"xperia xa1 gold 5"" 32gb 4g unlocked & sim free"					android 7.0 nougat		nano sim			£41.97									3gb					octa core		32gb		23 megapixel	23 megapixel			5 inches			1280 x 720 pixels		
"kodak ektra black 5"" 32gb 4g 21 megapixel unlocked & sim free"					android 6.0 marshmallow		nano sim			£94.97									3gb				2.3 & 1.4ghz	deca core		32gb		21 megapixel	21 megapixel			5 inches			1080p and over		
"iphone 6s rose gold 4.7"" 32gb 4g unlocked & sim free"					ios 9		nano sim			£500												a9				32gb		12 megapixel	12 megapixel								
"apple iphone 7 plus rose gold 5.5"" 128gb 4g unlocked & sim free"					ios 10		nano sim			£814									3gb					quad core		128gb		12 megapixel	12 megapixel			5.5 inches			1080p and over		
"cubot rainbow 2 white 5"" 16gb 3g unlocked & sim free"					android 7.0 nougat		nano sim			£73									1gb					quad core		16gb		12 megapixel	12 megapixel			5 inches			720p		
"blackberry dtek60 black 5.5"" 32gb 4g unlocked & sim free"					android 6.0 marshmallow		standard sim			£100.99									4gb			snapdragon 820	2.1 & 1.6ghz			32gb		21 megapixel	21 megapixel			5.5 inches			1080p and over		
"samsung galaxy j5 2016 black 5.2"" 16gb 4g unlocked & sim free"					android 6.0 marshmallow		micro sim			£40.99									2gb					quad core		16gb		13 megapixel	13 megapixel			5.2 inches			720p		
cubot max black 6 inch 32gb 4g unlocked & sim free					android 6.0 marshmallow		micro sim			£20.99									3gb					octa core		32gb		13 megapixel	13 megapixel			6 inches			720p		
"apple iphone se space grey 4"" 64gb 4g unlocked & sim free"					ios 9		nano sim			£395									2gb					dual core		64gb		12 megapixel	12 megapixel			4 inches			under 720p		
"apple iphone 7 silver 4.7"" 32gb 4g unlocked & sim free"					ios 10		nano sim			£604									2gb					quad core		32gb		12 megapixel	12 megapixel			4.7 inches			720p		
"apple iphone 7 plus black 5.5"" 128gb 4g unlocked & sim free"					ios 10		nano sim			£809									3gb					quad core		128gb		12 megapixel	12 megapixel			5.5 inches			1080p and over		
"archos 40 power black 4"" 8gb 3g unlocked & sim free"					android 5.1 lollipop		nano sim			£2.97									512mb			sc7731c				8gb		5 megapixel	5 megapixel			4 inches			480x800 pixels		
"motorola moto g4 play white 5"" 16gb 4g unlocked & sim free"					android 6.0 marshmellow		micro sim			£10.99									1gb					quad core		16gb		8 megapixel	8 megapixel			5 inches			720p		
"htc desire m10 silver 5.2"" 32gb 4g unlocked & sim free"					android 6.0		nano sim			£93.97									4gb				2.1 & 1.6ghz	quad core		32gb		12 megapixel	12 megapixel			5.2 inches			1080p and over		
sony xperia xa ultra lime gold 6 inch 15gb 4g unlocked & sim free					android 6.0 marshmallow		nano sim			£84.98									3gb				2 & 1ghz	octa core		16gb		21 megapixel	21 megapixel			6 inches			1080p and over		
"apple iphone 7 silver 4.7"" 256gb 4g unlocked & sim free"					ios 10		nano sim			£54									2gb					quad core		256gb		12 megapixel	12 megapixel			4.7 inches			720p		
"alcatel pixi 4 black 5"" 8gb 4g unlocked & sim free"					android 6.0 marshmallow		micro sim			£5.99									1gb					quad core		8gb		8 megapixel	8 megapixel			5 inches			under 720p		
"apple iphone se gold 4"" 64gb 4g unlocked & sim free"					ios 9		nano sim			£54.99									2gb					dual core		64gb		12 megapixel	12 megapixel			4 inches			under 720p		
"xiaomi redmi 4a dark grey 5"" 32gb 4g unlocked & sim free"					android 6.0 marshmallow		micro sim + nano sim			£16.97									2gb					quad core		32gb		13 megapixel	13 megapixel			5 inches			720p		
"motorola moto e4 plus iron grey 5.5"" 16gb 4g unlocked & sim free"					android 7.0 nougat		nano sim			£12.97									3gb					quad core		16gb		13 megapixel	13 megapixel			5.5 inches			1280 x 720 pixels		
"apple iphone 6s silver 4.7"" 32gb 4g unlocked & sim free"					ios 9		nano sim			£500												a9				32gb		12 megapixel	12 megapixel			4.7 inches					
"xperia xz premium deepsea black 5.5"" 64gb 4g unlocked & sim free"					android 7.0 nougat		nano sim			£69.97									4gb			snapdragon 835				64gb		19 megapixel	19 megapixel			5.5 inches			2160x3840 pixels		
"cubot manito gold 5"" 16gb 4g unlocked & sim free"					android 6.0 marshmallow		micro sim			£25.99									3gb					quad core		16gb		13 megapixel	13 megapixel			5 inches			720p		
"samsung galaxy s7 edge gold 5.5"" 32gb 4g unlocked & sim free"					android 6.0 marshmallow		nano sim			£120.97									4gb					octa core		32gb		12 megapixel	12 megapixel			5.5 inches					
cubot max gold 6 inch 32gb 4g unlocked & sim free					android 6.0 marshmallow		micro sim			£20.02									3gb					octa core		32gb		13 megapixel	13 megapixel			6 inches			720p		
"samsung galaxy j5 2016 gold 5.2"" 16gb 4g unlocked & sim free"					android 6.0 marshmallow		micro sim			£40.99									2gb					quad core		16gb		13 megapixel	13 megapixel			5.2 inches			720p		
"v7 zyro black 5"" 16gb 4g dual sim unlocked & sim free"					android 6.0 marshmallow		micro sim			£8.97									1gb				1.1ghz	quad core		16gb		13 megapixel	13 megapixel			5 inches			1280 x 720 pixels		
"doro 8020x black 4.5"" 8gb 4g unlocked & sim free"										£40									1gb			mt6735m															
"imo q grey 4"" 8gb 3g unlocked & sim free"					android 5.1 lollipop		micro sim			£6.97									1gb					quad core		8gb		5 megapixel	5 megapixel			4 inches			480x800 pixels		
htc desire 530 grey					android 6.0 marshmallow					£39.97									1.5gb			snapdragon 210	1.1ghz			16gb		8 megapixel	8 megapixel			5 inches					
"apple iphone se rose gold 4"" 16gb 4g unlocked & sim free"					ios 9		nano sim			£408									2gb					dual core		16gb		12 megapixel	12 megapixel			4 inches			under 720p		
"samsung galaxy s6 edge black 5.1"" 32gb 4g unlocked & sim free"					android 5.1 lollipop		nano sim			£194.99									3gb				2.1ghz	octa core		32gb		16 megapixel	16 megapixel			6 inches					
"honor 8 pro blue 5.7"" 64gb 4g unlocked & sim free"					android 7.0 nougat		nano sim			£74.99									6gb					octa core		64gb		dual 12 megapixel	dual 12 megapixel			5.7 inches			1080p and over		
"alcatel a2 xl black dual sim 6"" 8gb 3g unlocked & sim free"					android 5.1 lollipop		micro sim			£4.97									1gb					quad core		8gb		8 megapixel	8 megapixel			6 inches			1280 x 720 pixels		
"apple iphone 7 plus jet black 5.5"" 128gb 4g unlocked & sim free"					ios 10		nano sim			£794									3gb					quad core		128gb		12 megapixel	12 megapixel			5.5 inches			1080p and over		
"lg google nexus 5x carbon black 5.2"" 32gb 4g unlocked & sim free"					android 5.1 lollipop					£74.99									2gb			snapdragon 808	2ghz			32gb		12.3 megapixel	12.3 megapixel			5.2 inches					
"honor 6x grey 5.5"" 32gb 4g dual sim unlocked & sim free"					android 6.0 marshmallow		dual sim			£64.97									3gb				2.1 & 1.7ghz	octa core		32gb		12 megapixel	12 megapixel			5.5 inches			1080p and over		
lg g flex 2 titanium 16gb unlocked & sim free					android 5.0 lollipop		nano sim			£30.97									2gb					octa core		16gb		13 megapixel	13 megapixel			5.5 inches			1080p and over		
"honor 8 white 5.2"" 32gb 4g dual sim unlocked & sim free"					android 6.0 marshmallow		nano sim			£84.99									4gb					octa core		32gb		12 megapixel	12 megapixel			5.2 inches			1920x1080 pixels		
"htc u ultra black 5.7"" 64gb 4g unlocked & sim free"					android 7.0 nougat		nano sim			£54.97									4gb			snapdragon 821	2.15ghz			64gb		12 megapixel	12 megapixel			5.7 inches			1080p and over		
"samsung galaxy a5 2016 gold 5.2"" 16gb 4g unlocked & sim free"					android 5.1 lollipop		nano sim			£145.99									2gb				1.5 & 1.2ghz	octa core		16gb		13 megapixel	13 megapixel			5.2 inches			1080p and over		
"sony xperia xz platinum 5.2"" 32gb 4g unlocked & sim free"					android 6.0 marshmallow		nano sim			£180.97									3gb				2.1 & 1.6ghz	quad core		32gb		23 megapixel	23 megapixel						1080p and over		
"xiaomi redmi note 4 gold 5.5"" 32gb 4g unlocked & sim free"					android 6.0 marshmallow		micro sim + nano sim			£28.97									3gb					octa core		32gb		13 megapixel	13 megapixel			5.5 inches			1920x1080 pixels		
"xperia xa1 white 5"" 32gb 4g unlocked & sim free"					android 7.0 nougat		nano sim			£41.97									3gb					octa core		32gb		23 megapixel	23 megapixel			5 inches			1280 x 720 pixels		
"samsung galaxy s7 flat white 5.1"" 32gb 4g unlocked & sim free"					android 6.0 marshmallow		nano sim			£260.97									4gb									12 megapixel	12 megapixel			5.1 inches					
"apple iphone se silver 4"" 16gb 4g unlocked & sim free"					ios 9		nano sim			£44.99									2gb					dual core		16gb		12 megapixel	12 megapixel			4 inches			under 720p		
"samsung galaxy a3 2017 gold 4.7"" 16gb 4g unlocked & sim free"					android 6.0 marshmallow		nano sim			£38.97									2gb				1.6ghz	octa core		16gb		13 megapixel	13 megapixel			4.7 inches			720p		
"lg g6 astro black 5.7"" 32gb 4g unlocked & sim free"					android 7.0 nougat		nano sim			£59.97									4gb				2.3 & 1.6ghz	quad core		32gb		13 megapixel	13 megapixel			5.7 inches			1440x2880 pixels		
"samsung galaxy s7 flat silver 5.1"" 32gb 4g unlocked & sim free"					android 6.0 marshmallow		nano sim			£260.99									4gb									12 megapixel	12 megapixel			5.1 inches					
samsung galaxy s7 edge silver 32gb unlocked & sim free					android 6.0 marshmallow		nano sim			£250.99									4gb				2.3ghz	octa core				12 megapixel	12 megapixel			5.5 inches					
archos 50b titanium black										£73									1gb			sc9832	1.3ghz														
"htc u 11 amazing silver 5.5"" 64gb 4g unlocked & sim free"					android 7.0 nougat		nano sim			£108.97									4gb				2.45ghz	octa core		64gb		12 megapixel	12 megapixel			5.5 inches			1080p and over		
"huawei p10 mystic silver 5.1"" 64gb 4g unlocked & sim free"					android 7.0 nougat		nano sim			£109.97									4gb					octa core		64gb		20 megapixel	20 megapixel			5.1 inches			1920x1080 pixels		
"apple iphone 7 rose gold 4.7"" 256gb 4g unlocked & sim free"					ios 10		nano sim			£55									2gb					quad core		256gb		12 megapixel	12 megapixel			4.7 inches			720p		
